,,Question,Réponse
1,FAQ7-1,La grappe peut-elle être dans une église?,La réponse est non.
2,FAQ7-2,"Dans l'expression ""regarde les hommes tomber"", aurait-on pu remplacer “hommes” par “males”, c'est-à-dire exclure les femmes?","Non plus, puisque il y a bien des femmes qui tombent également."
3,FAQ7-3,"Concernant l'énigme deux, si je vous dis que d'explorer un peu plus la fermentation alcoolique est une piste intéressante. Suis-je dans le vrai?","Alors là, c'est un peu trop précis, donc je ne pourrais pas répondre à cette question."
4,FAQ7-4,"Concernant la grappe de raisins, faut-il beaucoup zoomer sur la carte pour l’apercevoir?","Non, mais si vous voulez par contre aller un peu au delà et compléter votre grappe, oui, il le faudra."
5,FAQ7-5,Le blaireau que je croise en illustration 5 a l'air de renifler quelque chose sur le caillou. Ne serait-il pas sur les traces du lieu familier?,"Non, pas du tout."
6,FAQ7-6,"A la suite de la question suivante “Bonjour, connaissons-nous le personnage présent sur les illustrations a-t-il réellement existé ou provient-il d’un monde fictif?” Vous répondez non. Est-ce que ce “non” s'applique à “A-t-il réellement existé” ou “provient-il d'un monde fictif”?",Il ne provient pas d'un monde fictif.
7,FAQ7-7,La grappe de raisins est-elle visible depuis l'autre bout du monde?,"Non, pas du tout."
8,FAQ7-8,"Quand vous dites que la grappe de raisins est visible de jour comme de nuit toute l'année, peut-on considérer qu'une image de celle-ci sur Internet est visible de nuit comme de jour toute l'année?","Alors une image, je ne sais pas. Je n'ai pas cherchée. Mais oui, elle est visible, en tout cas sur internet sans problème."
9,FAQ7-9,"La disparition d'une partie de la grappe est-elle: 1- intentionnelle, 2- naturelle, 3- accidentelle? Et du coup: La partie restante est-elle: 1- originale, 2- un fac similé, 3- Une copie pas tout à fait fidèle? La partie manquante peut-elle nous faire défaut pour résoudre l'énigme, voire pour aboutir à la cache finale ?","Alors la disparition de la grappe est intentionnelle. Enfin d'une partie du plus de la grappe, pas la grappe. C'est plutôt ce que ce que vous trouvez en plus dans l’énigme 1 qui a disparu, qui a disparu intentionnellement alors que la grappe, elle est originale. Et donc non, non, il suffit de connaître et même de reconnaître cette partie manquante et ça vous aidera. Et si vous ne trouvez pas cette partie disparue, dans tous les cas, il y aura d'autres éléments dans le jeu qui vous aiguillons dessus."
10,FAQ7-10,"Comte, après l'immortalité, la jouvence perpétuelle, la grappe, les contes, vous évoquez maintenant l'amour. Cela signifie-t-il que nous devons chercher que des choses qui n'existent pas?","C'est très drôle, évidemment. J'imagine que cette question n'appelle pas de réponse."
11,FAQ7-11,"C’était par rapport à la numérotation romaine. Doit-on comprendre que vous avez simplement reproduit cette numérotation à l'identique d'un modèle couramment employé? Ou bien est-ce une numérotation définissant pour vous un classement précis de choses étroitement liées aux 6 énigmes pour accéder à la cache finale? Alors genre une compilation, un best of, une œuvre?","Alors oui, ok, je comprends votre question. Et alors du coup, je ne peux pas y répondre. La seule chose que je peux vous dire, c'est que les chiffres romains sont en rouge et que ce n'est pas par hasard. Après c’est à vous de comprendre pourquoi c'est en rouge. Je ne pourrais pas vous dire si elles vous permettent de trouver un quelconque ordre ou une classification dans le jeu."
12,FAQ7-12,La fleur de lys aurait-elle pu être dessinée ailleurs que sur la carte? Par exemple à côté des sabliers ou du RC?,"Oui, aucun problème. Elle aurait pu, même si c'est plus cohérent quand même qu'elle figure sur la carte de l'illustration 1."
13,FAQ7-13,Avons-nous besoin pour identifier la grappe uniquement des sabliers tracés ou d'autres éléments sont nécessaires?,"Non uniquement besoin des sabliers. C'est un peu pour le détail qui tue que vous aurez besoin d'autre chose, notamment le fameux S et O dont je vous ai parlé dans la dernière FAQ."
14,FAQ7-14,"La grappe serait-elle porteuse ou le symbole d'une ou plusieurs œuvres de l'esprit, en quelque sorte multi-facettes?","Non, je ne crois pas."
