,,Question,Réponse
1,FAQ13-1,Le lieu du combat de l'énigme six se situe-t-il en hauteur ?,Oui. Tout à fait.
2,FAQ13-2,A-t-on besoin de l'énigme une pour résoudre complètement l'énigme deux ?,Non.
3,FAQ13-3,"Les 18 degrés sur le rapporteur, est-ce un indice géométrique ou symbolique ?","Là-dessus, je ne réponds pas."
4,FAQ13-4,"Pouvez-vous nous préciser si, à la toute fin du jeu, au moment de nous révéler la cache la trinité est formée de trois entités identiques ou non ?",Je ne pourrais pas répondre à cette question.
5,FAQ13-5,Est-ce que jeter les items une fois la charade résolue interdit plusieurs niveaux de lecture de la solution avant cette action ?,"Les items ont été soigneusement choisis pour un intérêt qui va dépasser leur simple utilité, on va dire, dans la résolution de la charade."
6,FAQ13-6,Est-ce qu'un jeton peut nous mettre sur la piste ?,Non.
7,FAQ13-7,"Est-il important de trouver quel est le nom du diable représenté dans l'illustration trois ? J'entends son nom au sens littéraire. Exemple Satan, Lucifer ou autre bien sûr.",Je ne pourrais pas vous répondre parce que vous partez d'une hypothèse que je ne peux pas confirmer.
8,FAQ13-8,"Je reviens aux gardiens de l’énigme textuelle une. Outre leur utilité purement géographique pour trouver la grappe, est-il nécessaire, en seconde lecture, d'aller plus loin dans leur analyse ? Si oui, il nous faut raisonner plutôt par couple ou à la manière d'un puzzle ? Réunir huit éléments et les remettre dans l'ordre ?","Oui, les gardiens et les solutions de l'énigme textuelle une vous serviront à nouveau plus tard dans le jeu. Tout à fait."
9,FAQ13-9,"Parlons cendres et frontières. Dans les précédentes FAQs, vous avez répondu que les cendres sont en France et par conséquent le mal et le mal jumeau aussi. Doit-on considérer la France telle qu'elle est délimitée aujourd'hui ou telle qu'elle l'était à une époque précise en rapport avec la chasse ?",Je parlais de la France avec les frontières qu'on lui connaît aujourd'hui.
10,FAQ13-10,"“Au Nord du Cachemire, du fer et du jade”, “Au nord, ta croix est à l'entrée du royaume des morts”, “Au nord, c'était les corons” aussi. Merci pour la mélodie que j'ai dans la tête depuis un an. Le Sud ne vous inspirait donc pas ?","Le Nord m'inspire tout autant que le Sud. J'aime beaucoup cette chanson. Je vous conseille aussi “Marionnettiste” et “Elle est d'ailleurs” du même chansonnier. Mais j'aime beaucoup aussi Nino Ferrer pour autant. Et la chasse vous invite évidemment plusieurs fois à aller dans le sud, mais aussi à l'est, à l'ouest. Tous les points cardinaux ont leur place dans la chasse de l'Élixir."
11,FAQ13-11,Le type de roche utilisé pour la chambre cachée et la pierre d'attente est-il identique ?,"Non, ce n'est pas le même type."
12,FAQ13-12,"Une fois arrivé au lieu familier, doit-on rester sur le seuil et se contenter de ce qu'on y trouve ? Ou bien explorer un peu plus ?",Vous n'avez pas grand chose à faire au lieu familier. Il ne vous sert principalement qu'à trouver l'ordre nouveau qui jaillit.
13,FAQ13-13,"Dans le cadre de l'Élixir et plus particulièrement du visuel quatre, que pensez-vous des dictons suivants : “Blanc sur rouge, rien ne bouge. Rouge sur blanc, tout fout le camp.” ?","C’est un très bon dicton et je l'amenderais un peu pour l'Élixir. Je dirais plutôt d'abord rouge sur blanc, puis blanc sur rouge. Dans cet ordre. Et pour les ordres."
14,FAQ13-14,Le lieu familier a-t-il un lien indirect et ténu avec l'antiquité ?,Ça je ne pourrais pas vous répondre.
15,FAQ13-15,"Vous avez fait état plusieurs fois de plus de deux reliques dans la chasse. Les autres reliques sont-elles : a/ Citées clairement dans le parchemin comme les deux premières (énigmes quatre, ta première relique et autre trésor) ? b/ Tombons-nous dessus lors de nos tracés à effectuer ? c/ Allons-nous les chercher par déduction des deux premières déjà trouvées ?","J'ai dit qu'il y avait plusieurs reliques. En tout cas, je préfère pas préciser leurs noms exacts. Et les reliques ne sont pas à des endroits inattendus. Elles suivent votre parcours dans le jeu."
16,FAQ13-16,Ce dernier cercle sur la carte n'est-il pas simplement le tour que nous joue notre esprit en nous faisant croire que nous sommes au sommet alors que nous n'avons pas encore commencé à grimper ?,"A un autre moment du jeu, oui, il peut y avoir une fausse impression de vertige. Pas au niveau du dernier cercle."
17,FAQ13-17,La pièce pour le lieu familier était-elle parmi les plus courantes de l'époque ?,"Oui, elle était parmi les dix plus courantes de l'époque. Tout à fait."
