,,Question,Réponse
1,FAQ12-1,L'arbre de l'illustration un est-il un peuplier ?,Non.
2,FAQ12-2,"Sur les illustrations situées la nuit, le personnage est-il en plein rêve ?",La réponse est que non. Il n'est pas en rêve. Il est même malheureusement actif.
3,FAQ12-3,"“A l’Orient tu verras par l'autre trésor”, est-ce que “Orient” aurait pu s’écrire sans majuscule ?","Oui, tout à fait."
4,FAQ12-4,"Le dessin sur le rocher à l'illustration cinq qui pourrait faire penser à un “T”, est-ce une libre initiative de l'artiste ou est-ce que ça faisait partie du cahier des charges ?","Là-dessus, je préfère ne pas répondre."
5,FAQ12-5,Est-ce qu'une faucille en rouge a sa place dans le jeu ?,La réponse est non.
6,FAQ12-6,Est-ce que l’illustration quatre peut faire référence à quelque chose ou quelqu'un qu'on aurait volontairement effacé des mémoires ou voulu faire disparaître ?,"Non, pas à ma connaissance."
7,FAQ12-7,Le coup de pouce trois est-il lié à l'énigme deux ?,Non.
8,FAQ12-8,"Est-ce que, concernant l’énigme quatre, la charade est réalisable sans prendre en compte les illustrations ? Sans prendre en compte le titre de l'énigme ? Sans prendre en compte les nombres 1543 1938 ?","Alors là-dessus, je répondrais que tout se nourrit mutuellement. Voilà ce que je pourrais dire. Sinon, vous arrivez forcément à des résultats intermédiaires. Ce n'est pas une finalité en soi."
9,FAQ12-9,Les entailles craquelures de l'échiquier de l'illustration deux sont-elles à prendre en compte lors de notre chasse ou est-ce une liberté de l'illustratrice ?,"Non, il s'agit d'une liberté de l’illustratrice, donc ça n'a pas tellement d'importance."
10,FAQ12-10,"Pour l'énigme cinq, la pièce que nous recherchons a-t-elle été créée dans le but d'effectuer des transactions financières ? Ou alors a-t-elle été créée dans un but plutôt esthétique, comme une collection ou une œuvre d'art ?",La pièce a été principalement utilisée pour des transactions. C'est une pièce qui a été en circulation pendant une période assez longue et sur une zone suffisamment large pour qu'il y ait eu un grand volume de transactions.
11,FAQ12-11,Doit-on d'abord un peu avancer sur les différentes énigmes avant d'appréhender le poème ou pouvons-nous déjà tenter de le déchiffrer sans avoir résolu les énigmes ?,"Oui, vous pouvez avancer sur le poème, même au tout début du jeu."
12,FAQ12-12,Êtes-vous d'accord avec cette définition: “Les reliques sont les restes matériels qu'a ou qu’aurait laissé derrière elle en mourant une personne vénérée” ?,"Oui, ça me paraît une bonne définition de relique."
13,FAQ12-13,"Si vous deviez comparer cette chasse à un jeu existant, se rapprocherait-elle le plus d'un jeu de piste, d'un Cluedo ou d'un cache-cache ?","Alors, là-dessus, je dirais qu'il s'agit d'un jeu de piste évidemment, mais si on devait le comparer un jeu, plutôt un puzzle qui serait vraiment ancré dans l'histoire, dans l’ésotérisme, dans tout l'univers du Comte de Saint-Germain."
14,FAQ12-14,"Concernant l'énigme quatre, auriez-vous pu écrire “gardien des sceaux” au lieu de “garde des sceaux” ?","Je pense que oui. Mais dans la version française en tout cas, “garde des sceaux” est bien plus clair. Donc si c'était à refaire, je réécrirais “garde des sceaux” ça me semble plus clair."
15,FAQ12-15,"Sur l'énigme quatre et concernant les sceaux, est-ce que les sceaux gardés sont tous de même nature ?",La réponse est oui.
16,FAQ12-16,Est-ce que c'est plus l'endroit global où se trouve la grappe que la grappe elle-même qui a son importance dans l'histoire de France ?,Je dirais que les deux ont leur importance.
17,FAQ12-17,"De nouveau, parcourir la grappe va nous mener plus tard à un endroit précis. Cet endroit est-il très clairement indiqué dans l'un des visuels ?","Oui, tout à fait. Visuel et énigme écrite, c'est clairement indiqué."
18,FAQ12-18,Le lierre de la connaissance est-il un savoir-faire ou est-il dû à l'artisanat ?,Aucun des deux. Mais il fait référence à des points très précis.
19,FAQ12-19,Est-ce qu'une vraie bataille se joue sur l'échiquier ?,"Non, pas encore."
20,FAQ12-20,Vous avez dit qu'il était intéressant de savoir jouer au roi de la montagne. Cela fait-il référence au roi de la montagne du coup de pouce numéro un ? D'une pierre deux coups ?,"Oui, tout à fait. Même si par curiosité intellectuelle, je vous conseille de vous intéresser au roi de la montagne version échecs. C'est une perle à ne pas manquer."
21,FAQ12-21,"Nous conseillerez-vous aussi de jouer au roi de la colline, sachant qu’aux échecs il s'agit du même jeu que celui du roi de la montagne ?","Oui, tout à fait. Vous pouvez jouer au roi de la colline. Roi de la cime, roi de la colline, roi de la montagne. Les trois sont intéressants."
22,FAQ12-22,"Hormis le fait qu'ils cachent les voyelles, les pictogrammes sont-ils une aide précieuse pour trouver le bonus de la grappe ?","Là-dessus, je ne répondrais pas."
23,FAQ12-23,Le lierre de la connaissance est-il composé d'entités ?,"Oui, en quelque sorte."
24,FAQ12-24,Peut-on trouver la chambre cachée sans avoir trouvé le lieu familier ?,Oui.
25,FAQ12-25,Le lieu de la cache est-il défini de façon précise par l'intersection d'au moins deux tracés ?,Ça me semble un peu trop précis. Je ne répondrais pas.
26,FAQ12-26,La montagne de l'illustration trois est-elle aussi un chevalier ?,Je ne peux pas répondre à cette question.
27,FAQ12-27,"Peut-on dire que d'une certaine manière, et bien malgré lui, le Prince des Vignes est en lien avec l’un des maux rencontrés lors de la quête de l’Elixir ?","Non, je ne crois pas."
28,FAQ12-28,Une lettre grecque peut-elle être intéressante à observer pour VITRIOL hors utilisation mathématique ?,Non.
29,FAQ12-29,Les couleurs des drapeaux sur l'illustration quatre ont-elles un rapport avec les chevaliers des échecs ?,Je ne peux pas répondre sur un lien aussi direct que vous tissez.
30,FAQ12-30,Les entités de l'énigme deux ont-elles existées réellement ?,Je peux pas répondre à cette question.
31,FAQ12-31,Les noms des entités de l'énigme deux sont-ils leurs vrais noms ou juste des pistes pour trouver les vrais ?,Je peux pas répondre à cette question.
32,FAQ12-32,Y a-t-il dans les visuels des éléments nous permettant d'identifier précisément les entités de l’énigme deux ?,"Oui, en partie. Les visuels peuvent aider."
33,FAQ12-33,La rose des vents du visuel un peut-elle nous aider pour l’énigme deux ?,Non.
34,FAQ12-34,Les serpents du visuel quatre jouent-ils ? Font-ils référence à un objet se trouvant dans la pièce ?,"Non, ils ne jouent pas. Ils sont immobiles. Il s'agit de statues."
35,FAQ12-35,L'identité de la personne qui repose dans la chambre cachée est-elle formellement connue ?,"Oui, tout à fait."
36,FAQ12-36,L'énigme trois m'encourage à inspirer entre deux hululements. Suis-je sur la bonne piste ?,"Non, je ne crois pas. Mais ça a l'air chouette."
37,FAQ12-37,Suis-je sur la bonne piste de l'énigme deux si je vous dis R.POULIDOR.CONTRARIUM.EST ?,"Mon grand-père était fan de [Raymond] Poulidor. Je crois qu'il n’a jamais gagné le Tour, le pauvre. Mais là-dessus, je suis plus que novice en la matière. Donc je ne saurais pas vous répondre précisément."
