,,Question,Réponse
1,FAQ8-1,"Dans l'énigme 5, peut-on être amené à dépenser ses pièces en faisant des zigzags: pas forcément en ligne droite?",La réponse est non.
2,FAQ8-2,"Dans l'énigme 5, l’unité pour la pièce est-elle très connue?",Je ne peux pas vous répondre.
3,FAQ8-3,Vous m'avez mis le doute mais je persiste notre grappe de raisins passe-t-elle le plus clair de son temps sous la neige?,Non.
4,FAQ8-4,L’objet vert en bas du visuel 4 est-il brisé?,"Alors l’objet vert en bas du visuel 4... Je le vois plutôt bleu. Et non, ce n'est pas un objet qui est brisé."
5,FAQ8-5,Est-ce que l'épée à lame ondulée nous permet d'identifier le personnage?,Pas nécessairement.
6,FAQ8-6,Est-il possible de comprendre les lettres rouges du poème dès le début de notre chasse?,"Alors, uniquement de façon partielle. Mais c'est pas l'élément, on va dire, principal."
7,FAQ8-7,"Vous avez dit qu'il y a un ouvrage littéraire à trouver. A votre avis, ce document serait plus pour appuyer nos trouvailles ou alors un outil qui nous permettrait de trouver des infos que nous n'avons pas dans les énigmes, par exemple la pièce ou la chambre cachée?",Alors il serait davantage en effet plutôt à visée confirmative.
8,FAQ8-8,Est-ce que je délire si je fais une projection terrestre d'éléments célestes?,"Non, vous ne délirez pas."
9,FAQ8-9,"Question sur le texte de l'énigme 1, est-ce possible que l'on voit seulement la grappe de raisins à la fin du jeu alors que l'action trace ses deux gardiens se déroule au présent et tu verras la grappe de raisins au futur?",Non.  Même si quelque chose d'autre peut apparaître plus tard. Il y a toujours des réminiscences dans le jeu qui peuvent être utiles à un stade plus avancé.
10,FAQ8-10,"Est-ce que le titre de chaque énigme nous permet un début de compréhension, en tout cas une analyse quelconque sur l'énigme en question?","Oui, tout à fait."
11,FAQ8-11,Est-il plausible de penser que le morceau volontairement disparu de la grappe de raisins ait été vendu aux enchères?,Alors je ne peux pas vous répondre de façon précise là dessus.
12,FAQ8-12,Le poème a-t-il été très difficile à écrire?,"Ça prend du temps, mais c’est du plaisir, sinon on ne fait pas de poème. En tout cas, pour moi, ça a été beaucoup de plaisir."
13,FAQ8-13,Est-ce que Cagliostro peut m’être utile?,"Oui, peut être. En tout cas, il est très proche du Comte et dans tous les cas, le personnage est suffisamment haut en couleur pour valoir le détour. Donc en effet, ça peut être utile."
14,FAQ8-14,Est-il possible de réussir la charade sans avoir rien fait d'autre?,Oui.
15,FAQ8-15,Est-ce que la chasse est basée sur la structure narrative de la quête du héros,"Oui, en quelque sorte. Tout à fait."
16,FAQ8-16,Quelle est votre définition du mot palpable?,"Alors, pour moi, quelque chose de palpable, c'est quelque chose qui est tangible et qui peut être touché, tenu avec nos mains, par exemple."
17,FAQ8-17,Est-ce que l'épée s'est cassée à un moment?,Non.
18,FAQ8-18,"Si je devais redessiner l'intégralité des vignes présentes dans l'illustration 1, est-ce que ça aurait une incidence sur notre chasse?",Non plus.
19,FAQ8-19,"Et s'il y a bien incidence, est-ce qu’il y a un crypto à trouver dans les vignes?","Du coup, vous déduisez ce que vous voulez de la réponse précédente. Je ne pourrais pas répondre plus avant."
20,FAQ8-20,La date de lancement du jeu ou le mois a-t-il une importance?,Non. Pas dans le jeu en tout cas.
21,FAQ8-21,Une question me taraude: y’a-t-il un ou plusieurs objets autres que l'épée dans les illustrations qui permettent d'identifier clairement le barbu encapuchonné? Les réponses “c’est trop précis” et “je ne peux pas répondre” ne sont pas admises.,Alors la réponse est oui.
22,FAQ8-22,Est-ce que le blason de l'illustration 2 est lié à l'un de mes 3 guides?,Compliqué de vous répondre puisque je pense que vous parlez d'un élément qui n'est pas en clair. Donc je ne peux pas vous répondre à ce sujet.
23,FAQ8-23,Il faut croire qu'on aime te l'entendre dire mais peux-tu me dire s'il faut systématiquement éliminer toutes les pistes dont la date est supérieure à celle de ta mort?,"Alors je suis désolé, mais je ne peux pas vous répondre encore une fois parce qu'on en revient toujours à un point sur lequel je ne peux pas donner d'indications. En tout cas, à ce stade. A savoir le rapport au temps du Comte."
24,FAQ8-24,Le bon cheval nous dit-il qu'il est ici?,"Alors il ne va pas me le dire de sa bouche, mais quelqu'un va en effet vous l'indiquer. Tout à fait."
25,FAQ8-25,La plume est-elle la représentation d'une idée abstraite? Celle-ci nous aide-t-elle à nous mettre sur la piste du contexte de la chasse?,Je ne pourrais pas être plus précis que vous dire qu'il s'agit d'une plume.
26,FAQ8-26,"Lorsque nous portons notre regard au loin, portons-nous notre regard à plusieurs endroits?",Non. Vous le portez à un seul endroit qui est très précis.
27,FAQ8-27,Le mal se cache-t-il derrière la communion du Faro et de l'Échiquier?,"Non, non."
28,FAQ8-28,Est-ce que la grappe à part entière est quelque chose de déterminé ou doit-on suivre un certain cheminement intellectuel?,"C'est déterminé et c'est assez simple pour une grande partie. Il n'y a pas besoin de chercher midi à 14h pour le gros de la grappe. C'est l'énigme 1, donc ça devrait tomber un peu sous le sens. Il n’y a pas besoin de fouiller l'entièreté de cartes ou de documentation diverses pour trouver la grappe de raisins."
29,FAQ8-29,Existerait-il un lien entre la grappe de raisins et les Romains?,"Pas vraiment, non."
30,FAQ8-30,"Quand vous dites que c'est à nous de découvrir le rapport au temps du Comte, est-ce réellement réfléchi ou juste une pirouette pour éluder les paradoxes de la chasse?","Alors non, il n'y a pas de pirouette. Il peut y avoir, d'ailleurs j'en ai reconnu quelques unes, des erreurs ou des petites incohérences non anticipées. Mais la chasse et les éléments choisis dans la chasse ont été étudiés et ils ont une cohérence qui est globale."
31,FAQ8-31,Est-ce que le lieu que l'on voit dans l'illustration 4 est identifiable géographiquement ou historiquement parlant?,"Oui, tout à fait. C'est une très bonne question. Et il est également symboliquement identifiable."
32,FAQ8-32,Est-ce que les colonnes palmiformes présentes dans l'illustration 4 sont importantes ou est-ce une liberté de l'illustratrice?,Il ne s'agit pas d'une liberté de l'illustratrice.
33,FAQ8-33,"Je ne sais pas si la question a déjà été posée, mais dans quel ordre les images sont reliées aux énigmes gauche à droite, haut en bas? Ou pas d'ordre précis?","Oui, tout à fait. Les illustrations se lisent de gauche à droite et de haut en bas. Après, là où je ne peux pas me prononcer c’est sur l'ordre d'interprétation ou leur rapport aux énigmes écrites."
34,FAQ8-34,Le site de la cache est-il identifiable sur MyMaps ou doit-on faire appel à d'autres documentations?,"Il est parfaitement identifiable sur MyMaps. En zoomant, vous pouvez tomber sur le coffre. En tout cas, sur le lieu où est enterré le coffre."
35,FAQ8-35,Doit-on prêter attention à l'étymologie des noms propres?,"Oui, tout à fait. Ça peut vous être utile dans le jeu."
36,FAQ8-36,Est-ce qu'un Français devra à un moment passer par une langue universelle afin d'avancer dans la chasse sur ce qui ne serait pas ou peu disponible en français?,"Oui, tout à fait, complètement."
37,FAQ8-37,Est-il possible que le Comte ne soit jamais vraiment allé au cours de sa vie dans le lieu familier?,Alors je ne peux pas vous répondre.
38,FAQ8-38,Est-ce que l'orthographe dans le poème Brûsle est une faute de frappe ou bien est-elle volontaire?,"Oui, je sais qu'il y a des exceptions en vieux français puisque les accents, pas que le circonflexe, sont en effet masqués parfois en S. Un S qui était muet. Et en effet, c'est possible dans le cas de Brûsle ce soit une légère erreur dans le poème à ce sujet là. Tout à fait."
39,FAQ8-39,"Vous dites en FAQ 7 qu'aucun joueur étranger ne doit traduire du français. Cela signifie-t-il que dans les versions étrangères de l'Élixir, aucun résultat de déchiffrement ne contient de mots français?","Dans la version étrangère, en effet, un non-francophone pourrait réussir à trouver le coffre 100 %. Je vous confirme: il n'aurait pas besoin de parler la langue de Molière."
40,FAQ8-40,Est-ce qu'il serait intéressant de trouver un thème différent pour chaque strophe du poème ou y’a-t-il plutôt un thème central  commun à chaque strophe?,Je ne pourrais pas répondre à cette question qui est très précise et qui est pourtant une bonne question.
41,FAQ8-41,"En dehors d'Hiram, doit on trouver d'autres personnages bibliques?",Pareil c’est un peu trop précis pour que je puisse vous apporter une réponse.
42,FAQ8-42,Aurons-nous à mesurer ou à reporter des angles sur la carte préconisée?,"Il y a plein de tracés à faire, que ce soit des cercles, des lignes. Sur notion d'angle en  particulier, pareil, c'est un peu trop précis pour que je puisse vous répondre."
43,FAQ8-43,Considérez-vous que votre démarche de créateur de chasse au trésor est une démarche artistique d'inspiration situationniste?,"Alors malheureusement, l'Élixir d'Or, et Unsolved du coup la start up, s'inscrivent dans le monde capitaliste malgré nous. On est né dans ce monde là, donc c'est difficile de me revendiquer d'un quelconque mouvement situationniste. C'est un peu comme le mouvement Oulipo ou l'Art pour l'Art, c’est des mouvements que je peux affectionner de loin. On peut y souscrire, mais pas de façon pratiquante. Moi, de mon côté à titre personnel, je préfère le lyrisme ou un style un peu plus Hugolien."
44,FAQ8-44,Le personnage des visuels pourrait-il porter l'épée dans la main gauche? N'y a-t-il pas d'importance à la façon dont-il la porte?,"Dans les illustrations, il la porte d'abord de la main droiteet il la porte ensuite des deux mains. Et c'est en effet une précision qui peut être importante à noter."
45,FAQ8-45,Est-ce que la demeure d'un nain de Fort Boyard fait partie de la chasse?,"Je pourrais pas vous répondre puisque ça donnerait un élément trop important, tangible ou une localisation négative sur un point sur la carte de France."
46,FAQ8-46,"On ressent des bribes d'une certaine Chouette d’Or dans certaines énigmes, mais doit-on s'intéresser aussi à une chouette noire et à son auteur?","Non, non, non, pas besoin."
47,FAQ8-47,Est-ce utile de connaître l'arbre de vie  cabalistique et notamment la couleur des Sephiroth pour résoudre la chasse?,"Alors, la première partie, je ne peux pas vous répondre. Et la seconde, j'avoue que je ne connais pas extrêmement bien les Sephiroth. A priori y’a pas besoin de creuser la couleur des Sephiroth pour résoudre la chasse."
48,FAQ8-48,Est-ce que l'arbre de l’illustration 1 a été abattu?,Non.
49,FAQ8-49,Pouvez-vous  préciser quels sont les visuels à côté des colonnes dans l'illustration 5?,"Alors oui, il y a trois cercles et de l'autre côté il y a une hache qui est à l'envers."
50,FAQ8-50,"Dans plusieurs FAQ vous n'avez pas déterminé le bâtiment de l'illustration 5 comme un temple. Ce bâtiment a été, je pense, déterminé par beaucoup, comme le temple de Salomon. Sauf que vous ne le déterminez pas comme tel. Pouvez-vous préciser la nature de ce bâtiment?","Non, je ne peux pas vous dire de quel bâtiment il s'agit. C'est à vous de le trouver. Pareil de vous dire s'il y a une cryptographie qui est à tirer de ce bâtiment."
51,FAQ8-51,Vous avez confirmé que les vignes dans l'image 1 auraient pu être dessinées autrement. Peut-on en déduire que les nombres de grappes et des grains de raisin auraient pu être différents?,"Oui, tout à fait."
52,FAQ8-52,"Sur l'image 3, est-ce que la queue du diable aurait pu ne pas couper la ligne de feu?",Je ne peux pas répondre précisément sur ce point.
53,FAQ8-53,Quand vous mesurez l'état d'avancement des joueurs dans quelle rubrique rangez-vous la découverte de la grappe hors son bonus? Dans le texte de l'énigme 1 ou bien dans le visuel?,Je la rangerais dans le texte de l'énigme 1.
54,FAQ8-54,La chambre cachée est-elle fictive ou réelle?,"Je peux vous dire qu'il ne s'agit pas de quelque chose d'abstrait. Donc, que ce soit dans l'univers réel ou fictif, dans tous les cas, c'est quelque chose qui est très concret dans l'univers où la chambre se trouve."
55,FAQ8-55,La relique et les hommes qui tombent sont-ils liés?,Ils sont liés de loin. Ce n'est pas un lien qui est évident de prime abord.
56,FAQ8-56,Le nombre et/ou la forme des racines de l'illustration 1 sont-ils dans le cahier des charges ou était-ce à l’entière liberté de l'artiste?,Il y avait en effet une précision dans le cahier des charges à ce sujet. Oui tout à fait.
57,FAQ8-57,La grappe et son bonus sont-ils de même nature?,Non.
58,FAQ8-58,"Sinon, dans la vraie vie, en dehors de la chasse, y’a-t-il un lien évident entre la grappe et son bonus?",Non plus. C'est vraiment propre à l'Élixir d'Or.
59,FAQ8-59,"Pour obtenir la résolution pour laquelle nous devons jouer aux échecs, devons-nous comprendre et utiliser des éléments autour de l'échiquier ou les pièces sur celui-ci suffisent?","L'échiquier suffit, ainsi que qu'une partie du texte des énigmes pour résoudre cette partie là."
60,FAQ8-60,"Dans le visuel 1, notre personnage d'où il est placé peut-il voir la grappe dans le paysage? Hors cartes? Est-ce qu'il peut voir la grappe?","La réponse est oui. Il peut voir la grappe depuis là où il se trouve. Oui, en effet, mais peut être pas... Je vais m'arrêter là là-dessus."
61,FAQ8-61,Dans le visuel 3 le boulier du pharaon ne semble pas avoir de boule pour le 6. Est-ce un oubli de l'illustratrice ou est-ce volontaire?,On peut imaginer que le capuchon du personnage peut cacher certains éléments s'agissant de l'illustration 3.
62,FAQ8-62,Notre personnage principal joue-t-il aux échecs contre deux personnes à la fois?,"Non, non, non."
63,FAQ8-63,Est-ce que la solution de l'énigme 1 nous sert à confirmer le bon choix de la pièce et le bon calcul?,Je ne peux pas répondre à cette question.
64,FAQ8-64,"Vous aviez parlé de la forme des fumerolles qui tombent dans l'illustration avec l'ermite et le démon en précisant que celles-ci n'avaient pas d'importance. Cependant, celle de gauche semble s’être séparée pour n'en former qu'une. Vous confirmez donc que ceci n'a pas d'importance non plus?","Tout à fait, je vous le confirme."
