,,Question,Réponse
1,FAQ14-1,Le personnage a-t-il quelque chose dans ses poches ?,Non.
2,FAQ14-2,Est-ce que le nom du diable a une importance ?,Oui. Le nom des personnages qui peuvent intervenir sur les visuels ou dans les textes ont leur importance.
3,FAQ14-3,Est-ce qu'on doit être le pélican qui se sacrifie pour devenir aigle de feu ?,Non.
4,FAQ14-4,Est-ce qu'il faut manier l'épée ? Est-ce que Faust sait manier l'épée ?,"J'imagine que c'est Faust qui a été présenté. Là-dessus, je ne pourrais pas répondre à la question."
5,FAQ14-5,Est-ce qu'un ange qui n'a plus d'ailes devient un homme ?,"Je ne comprends pas le contexte de la question posée. Donc je préfère pas y répondre, sinon ça risque de plus vous embrouiller qu'autre chose."
6,FAQ14-6,"Est-ce qu'on peut dire que le personnage sur les illustrations a inspiré des cinématographes, des musiciens, des metteurs en scène ainsi que G…?",J’imagine que c'est peut être Goethe ? Je ne peux pas répondre à cette question.
7,FAQ14-7,"Je suis chrétien, mais mon côté hérétique me guide et me fait défaut. Quel chemin suivre ?","Je ne vous conseille pas de vous faire suivre, enfin de suivre ce côté hérétique. La chasse va toujours vous mener, on va dire, dans le droit chemin. En tout cas, à la fin. C'est possible que vous empruntiez des chemins de traverse, mais ils seront que temporaires."
8,FAQ14-8,"Sans question de racisme ni misogynie, une femme noire pourrait-elle être une puissance mondiale ?","Je n'ai pas compris le contexte de la question, donc je préfère pas y répondre."
9,FAQ14-9,Puis-je voir une illumination sur la pièce en question ?,La réponse est non.
10,FAQ14-10,"Le conducteur suit-il le chemin où les étapes sont franchies. Suis-je dans le vrai ? La femme, l'enfant et le fruit nous font-ils avancer ? Et jusqu'où ?","Ça me semble un peu trop imprécis comme question, donc je ne vais pas y répondre. Pareil sur la femme, l'enfant et le fruit."
11,FAQ14-11,"Concernant le Roi de la montagne du coup de pouce, s'agit il d'une métaphore pour désigner une figure ayant atteint un sommet de connaissances en 1620 ?",Il ne s'agit pas d'une métaphore.
12,FAQ14-12,"Si le nom d'une rue venait à être subitement modifié, cela nous enlèverait-il un indice ou une aide ?",La réponse est non. Je n'ai pas utilisé des noms de rues qui n'étaient pas  de l'époque du Comte de Saint-Germain ou qui pourraient être modifiés aujourd'hui dans les solutions.
13,FAQ14-13,"Dans l'illustration une, le petit point dans la zone grisée que l'on voit sur la carte que tient le personnage fait-il partie du cahier des charges ?","En effet, il y a un petit point qui pourrait être en Bavière, mais ça ne fait pas partie du cahier des charges."
14,FAQ14-14,Peut-on considérer que le personnage des illustrations erre à travers l'histoire ?,Je ne dirais pas qu'il erre. Je dirais qu'il est au contraire plutôt moteur.
15,FAQ14-15,Est-ce que le mors de l'indice un peut faire référence à autre chose que l'équipement du cheval ?,Je ne peux pas répondre à cette question.
16,FAQ14-16,L'objet de la chambre cachée est plutôt sans relief ou bas relief ?,L'objet de la chambre est caché est ni sans ni bas relief. C'est un objet.
17,FAQ14-17,Les items trouvés avec la résolution de la charade nous donnent-ils le fil rouge ?,"Non, ils ne vous donnent pas le fil rouge."
18,FAQ14-18,"Il existe un point commun très fort entre nos trois entités de l'énigme deux, celui-ci est-il plutôt œnologique, héréditaire, historique ou géographique ?","Là-dessus, je ne pourrais pas répondre à cette question puisque ça fait appel à un élément qui n'est nécessairement en clair."
19,FAQ14-19,"Auriez-vous pu remplacer le terme ""connaissance"" par ""croyance"" dans l'expression ""lierre de la connaissance"" ?","Non, je n'aurais pas pu utiliser le terme de ""croyance""."
20,FAQ14-20,Aurons-nous besoin d’autre chose que l'épée afin que notre foi nous protège ?,"Oui, vous aurez besoin d’autre chose que l'épée, notamment à la toute fin."
21,FAQ14-21,"L'élément, l’objet que le Comte de Saint-Germain a découvert dans la chambre cachée lui a-t-il permis de s'orienter, de trouver sa voie à travers l'obscurité ou l'obscurantisme ?",Il ne lui a pas permis de s'orienter ou de trouver sa voie. Il a été d'une aide ponctuelle dans sa quête de l'Élixir d'Or.
22,FAQ14-22,Peut-on mélanger les cavaliers de l'échiquier pour obtenir quelque chose d'utile pour la chasse ?,"C'est une très bonne question. Je réagis notamment à la notion de mélange, mais je ne pourrais pas répondre précisément."
23,FAQ14-23,Est-ce que l'étude des villes et châteaux de l’énigme une nous permet de définir une partie du fil rouge ?,"Oui, tout à fait."
24,FAQ14-24,Le visuel un nous montre-t-il la création et la disparition d'un ordre ?,"Non, il ne montre pas ça."
25,FAQ14-25,"Vous nous avez dit lors de la précédente FAQ que Riri, Fifi et Loulou étaient très bien lotis en matière de gastronomie. Puis-je en conclure qu'ils vivent dans la même région ?","Non, vous ne pouvez pas conclure qu’ils viennent de la même région. Du reste, il y a de très bonnes régions, notamment en France, qui sont très bien loties en terme de gastronomie."
26,FAQ14-26,Les cavaliers de l'échiquier appartiennent tous à la même écurie ?,"Il faudrait que vous me précisiez ce que vous entendez par le terme d’écurie. Sinon, je répondrais sur le thème principal du mot écurie que non."
27,FAQ14-27,Riri et Fifi peuvent-ils partager et voyager un temps sur la même embarcation ?,"Non, pas dans le cadre en tout cas de la chasse de l'Élixir d’Or."
28,FAQ14-28,La réponse à chacune des six énigmes est-elle un lieu ?,"Il n'y a pas forcément qu'une seule réponse, il peut y avoir beaucoup de solutions intermédiaires. Certaines de ces solutions ne sont pas des lieux."
29,FAQ14-29,L'arbre du visuel un possède-t-il son propre blason ?,La réponse est non.
30,FAQ14-30,"S'agit il d'un conte merveilleux, d'un conte philosophique, d'un conte de sagesse ou d'un conte étiologique ?",Je dirais qu'il s'agit plutôt d'un conte philosophique et religieux.
31,FAQ14-31,"Pour la charade, imaginons par exemple que le tout sur la ville de Marseille. Le résultat doit-il se présenter avec comme réponse : Mar - se - il - le ? Ou plutôt comme vieux - port - bonne - mère - foot ?",Je ne peux pas répondre à cette question. Mais chaque item de la charade par concaténation vous donne parfaitement le résultat de la charade.
