,,Question,Réponse
1,FAQ10-1,Perd-on son temps à fouiner du côté de la Roumanie?,"j’ai déjà eu la question pour plusieurs pays. Le Portugal, les États-Unis, l'Égypte, pas mal de régions du monde diverses et variées. Donc, je vous ferais la même réponse, c'est-à-dire que je ne peux pas invalider ou valider des pays. Ce serait trop restreindre la chasse, les fils à suivre, ou au contraire couper des pistes qui peuvent être intéressantes."
2,FAQ10-2,"Pour l'énigme cinq, ""Au nord du cachemire, du fer et du jade"", est-ce qu'on aurait pu inverser, fer, cachemire et jade?",La réponse est non.
3,FAQ10-3,"Pour l’énigme cinq, est-il possible de trouver la pièce cachée et la pierre d’attente dans deux pays différents?","Oui, tout à fait possible."
4,FAQ10-4,Un lieu brésilien pourrait-il nous être utile dans notre quête?,"C'est possible, mais du coup, même réponse que pour la Roumanie [ndr cf FAQ10-1]."
5,FAQ10-5,Est-ce que la couleur des cavaliers du jeu d'échecs aurait pu être interchangeable?,"Non, pas du tout. Chaque cavalier est à sa bonne place et a sa bonne couleur qui lui est attribuée."
6,FAQ10-6,"Vous avez écrit “Suis le dernier cavalier” en rouge, auriez-vous pu l'écrire une deuxième fois mais en noir?",Certainement pas non plus. Il fallait absolument que cette phrase soit en rouge.
7,FAQ10-7,Faut-identifier nos quatre cavaliers ou certains de nos quatre cavaliers pour résoudre la partie d'échecs?,"Je dirais que parmi les quatre cavaliers, il y en a deux qui sont majeurs et deux qui sont un peu plus mineurs, mais qui sont tout de même indispensables. Et donc, il faut absolument que vous puissiez les identifier."
8,FAQ10-8,Le lierre de la connaissance pousse-t-il en cercle?,"Non, il ne pousse pas en cercle. Non, il va pousser plutôt en ligne pas tout à fait droite. Mais tout de même en ligne."
9,FAQ10-9,Le lieu à égale distance est-il plus important à trouver que le lieu familier?,C'est le même. Il faut se tenir à égale distance et c'est comme ça que vous arrivez au lieu familier.
10,FAQ10-10,Est-ce que le sarcophage du visuel quatre aurait un visage féminin ou c'est tout simplement un sarcophage?,"Je vous confirme que le sarcophage est celui d'un homme, donc il ne s'agit pas d'un visage féminin."
11,FAQ10-11,Est-il fait de bois ou d’or? [ndr: le sarcophage de l'illustration 4],"Sur la matière, ça se trouve. Après, je ne l'ai plus en tête."
12,FAQ10-12,"Certains ont-ils accusé le personnage de jouer avec les pions noirs? Et si oui, avaient-ils raison?",Non.
13,FAQ10-13,"Plus Ultra sur le pion noir, le fond de blason de l'illustration deux, les livres en haut à gauche de l’illustration deux, ainsi que votre manteau partagent la même couleur. Cela aurait-il pu en être autrement?","Oui, je pense que ça, c'est un concours de circonstances. En l'occurrence, ce n'est pas tout à fait, d'ailleurs, les mêmes couleurs. Mais les couleurs sont assez proches et ça aurait pu être différent si vous preniez, si vous isoliez d'autres éléments de ce visuel ou d'autres visuels."
14,FAQ10-14,"Extraite du parchemin, la charade est-elle soluble pour quelqu'un qui ne connaît pas le jeu?","Une bonne question. Je pense qu'elle serait plus difficile, mais qu'elle resterait - je regarde pour chacun des items - de mon point de vue, elle reste soluble si elle était complètement isolée. Si un joueur, quelqu'un qui n'était pas adepte de l’Élixir d’Or s'y mettait, il lui faudrait un peu plus de mal et peut-être tenter plusieurs hypothèses. Mais il pourrait."
15,FAQ10-15,"Énigme cinq, la raison pour laquelle le lieu est familier au Comte existait-elle en 1784?","Oui, tout à fait. Elle existait même avant 1784."
16,FAQ10-16,Faut-il réordonner l'échiquier sur son usage habituel avant de potentiellement pouvoir y jouer?,"Non, vous ne devez pas jouer la partie à l'envers."
