,,Question,Réponse
1,FAQ15-1,Peut-on dire que la première énigme est considéré comme un point départ dans la quête ou non ?,"La réponse est oui, en même temps que le texte préliminaire du testament."
2,FAQ15-2,Est-ce qu'on peut résoudre la quête finale sans vraiment décrypter les images ?,"Non, c'est impossible."
3,FAQ15-3,"Tracez ce que Dieu veut, implique-t-il de suivre une lumière spécifique tout au long du chemin, ou quelque chose qui évoque la repentance ?","Non, ce sera même plus terre à terre que ça."
4,FAQ15-4,Vous avez indiqué que sur le visuel cinq le personnage portait sur lui notre première relique.  Est-ce qu'on la lui a donné ou bien l'a-t-il prise de son propre chef là où elle se trouvait ?,Il l'a prise de son propre chef.
5,FAQ15-5,"Vous avez précisé que la chasse ne demandait pas à trouver des coordonnées GPS. Pour qu’aucun doute ne persiste, pouvez-vous préciser ce que vous entendez par coordonnées GPS ? Car dans sa forme stricte, cela n'élimine pas les latitudes et les longitudes.","Je disais, qu'en effet, il n'y avait pas d'anachronisme à ce niveau là. C'est à dire que, notamment à l'époque du Comte de Saint-Germain, il n'y a pas le système de positionnement géographique tel qu'on le connaît depuis les années 70 avec le GPS. C'était des coordonnées exprimées en degrés, minutes, secondes et pas en degrés décimaux. Vous pouvez très bien trouver des coordonnées longitude-latitude mais exprimées sous la forme de l'époque."
6,FAQ15-6,"Au final, tout n'est-il pas question de perspective ?",C’est compliqué de répondre en bloc à cette question. Je vais passer là-dessus.
7,FAQ15-7,"En ce qui concerne d'exception poétique, pouvez-vous nous dire si vous faites fi des règles de césure d’hémistiche, de diérèse, voire d’élision dans votre versification ?","Non, complètement, le poème respecte l'ensemble ces règles. Et donc je dis bien qu'il y a une exception sur un vers pour les besoins de la chasse. Et donc, que ce soit en français ou dans une autre langue, je pense que vous pourrez trouver facilement de quelle exception il s'agit."
8,FAQ15-8,"Vous disiez que la charade résulte d'une concaténation des éléments des différents items et que même si elle ne respectait pas parfaitement la définition officielle, elle s'en approchait. De fait, si on est très proche de la définition officielle, peut-on exclure la concaténation d'une seule lettre des éléments trouvés sur les différents items ?","La réponse de la charade ça ne sera pas qu'une seule lettre. Mais je n'exclus pas le fait que vous puissiez trouver une seule lettre pour chaque élément de la charade, ou un seul chiffre ou une seule syllabe. Mais ce ne sera pas exactement la définition d’une charade qui est de trouver des mots, et ensuite ça fait un jeu de mot phonétique pour trouver un nouveau terme."
9,FAQ15-9,"En paraphrasant un slogan bien  connu des années 80, si je vous disais “Un verre, ça va. Trois verres, bonjour les dégâts”. Me conseilleriez-vous plutôt de dépasser le monostiche pour aller vers un tercet, un quatrain, voire un sonnet ?",Je vous conseillerais de ne pas essayer d'inventer votre propre poésie et de vous baser sur la forme poétique qui est déjà offerte dans le parchemin. Sinon ça devient très compliqué.
10,FAQ15-10,Est-ce que les marches en bas à gauche de l’illustration cinq ont leur importance ? Ou est-ce que c'est une simple liberté de l'illustratrice ?,"Non, Il y a un escalier en bas à gauche de l’illustration cinq et c'est à prendre en compte dans le jeu."
11,FAQ15-11,L'énigme quatre se résout-elle comme dans les trois premières énigmes ?,"Non, l’énigme quatre est différente des trois premières. La méthode de décodage est également différente."
12,FAQ15-12,"Entre ces deux versions, après traduction, un célèbre axiome, laquelle serait-elle le plus en correspondance avec la chasse ? Ce qui est en haut vient de ce qui est en bas. Ce qui est en bas vient de qui est en haut. Ou ce qui est en haut est semblable à ce qui est en bas. Et ce qui est en bas est semblable à ce qui est en haut.","Je ne pourrais pas faire une réponse sur l'ensemble du jeu. Après, sur un élément important du jeu, celle qui me parle le plus, c'est plutôt la première. Et plus spécifiquement, ce qui est en haut vient de ce qui est en bas. Donc la première partie de la première."
13,FAQ15-13,La crosse rouge dans la main de notre personnage pourrait-elle être supprimée de l’illustration ?,Non.
14,FAQ15-14,"Dans le testament, Vienne c’est en Autriche ou en France ?",C'est en Autriche.
15,FAQ15-15,"Sur les visuels trois et six, le personnage a un liseré doré. Il n'y en a pas sur les autres visuels.","Partez du principe qu'il a un liseré doré sur tous les visuels. Je pense que parfois le personnage est vu de loin ou de trop près pour que le liseré ait pu être inséré, mais il est bien présent."
16,FAQ15-16,"Concernant la plume du visuel deux, il y a deux réponses différentes. Elle ne définirait ni un personnage ni un lieu. Elle peut faire référence à un écrivain. Ça me semble un peu paradoxal.","Alors ça m’étonne d’avoir exactement répondu ça. Mais non, ça ne fait pas référence à un personnage ni à un lieu. Et ça peut faire penser à l'écriture, mais pas à un écrivain."
17,FAQ15-17,"Dans l'illustration une, les deux teintes sur la carte de l'Europe sont-elles à prendre en compte ?","Non, c'était pas important."
18,FAQ15-18,"Visuel cinq, le personnage se débarrasse de l'épée, mais va-t-il la récupérer plus tard dans la chasse ? Digne de s'en servir ?","Oui, tout à fait."
19,FAQ15-19,"Dans l'énigme cinq, le fait que le personnage lâche son épée au seuil du bâtiment doit-il être considéré comme un geste de respect plutôt que de sécurité ?",Alors ce n'est pas un geste de sécurité. Le terme de respect n'est pas exactement approprié.
20,FAQ15-20,"Une fois les éléments de la charade identifiée en quatre, faut-il nécessairement comprendre 1543, 1938 et/ou le titre pour identifier ma première relique ?","Oui, je pense que c'est très important de comprendre. Vous pouvez trouver sans ces deux nombres, mais ça me paraît beaucoup plus difficile. Et ça peut également réduire votre compréhension de la chasse dans son ensemble."
21,FAQ15-21,L'Église Saint Germain à Vitteaux est-elle intéressante ?,Je ne peux pas répondre à cette question.
