,,Question,Réponse
1,FAQ1-1,"Le chasseur/inventeur peut-il découvrir le trésor bien que toutes ses solutions ne soient pas 100% exacte mais que sa sagacité et son esprit de déduction lui aient quand même permis d'aboutir? Dans ce cas, y'a-t-il une ""tolérance"" qui s'applique de fait qu'il a malgré tout découvert le trésor en toute bonne foi et sans aucune triche?","Oui, tout à fait, il y aura une présemption de victoire. De fait, il faut avoir une solution 100% correcte pour pouvoir avoir une chance de trouver le coffre. Et donc, soit la personne a le cheminement 100% correct, dans ce cas, il n'y a aucun problème, elle arrivera à Vaux-le-Vicomte. Soit elle n'est pas de l'expliquer, dans ce cas, il peut y avoir une suspicion qu'elle l'aurait voler à un autre joueur. Mais ce cas de figure est vraiment extrême. Je ne pense pas du tout qu'il se produira."
2,FAQ1-2,A quelle profondeur est enterré le trésor?,Il est enterré à environ 60 cm de profondeur
3,FAQ1-3,"Le trésor est caché en France mais rien ne nous empêche de faire des incursions à l'étranger, n'est-ce pas?","Tout à fait, le trésor, le coffre est enterré en France mais le terrain de jeu est mondial. Donc vos recherches peuvent vous amener sur l'ensemble des continents de la planète"
4,FAQ1-4,Est-ce que les 3 ebooks sont utiles pour aider à la résolution des énigmes?,"Les ebooks ne contiennent pas d'indices. Les ebooks sont surtout là pour vous aider à vous plonger dans l'univers, à rendre votre expérience encore plus immersive et vous donner un peu de faits, sur l'histoire du vin en France, sur les trésors célèbres et sur le Comte de Saint Germain. Mais ils ne contiennent pas d'indices."
5,FAQ1-5,Combien de temps va durer la chasse?,"Extrêment compliqué à estimer puisque qu'il y aura plein de facteurs inquantifiables qui vont rentrer en compte. Nos estimations, notre calibrage fixerait la durée du jeu entre 6 mois minimum et la durée maximale qu'on a fixé dans le règlement, à 5 ans."
6,FAQ1-6,Que se passe-t-il si la chasse n'est pas résolue après 5 ans?,"Il y a plusieurs options et c'est vous qui aurait le dernier mot car c'est vous qu'on sollicitera pour savoir qu'elle est l'option que vous préférez. La première c'est peut-être de prolonger le jeu encore 1 ou 2 ans si vous pensez être proche du coffre. La seconde c'est d'arrêter le jeu et de lancer une nouvelle chasse au trésor avec le lot remis en jeu à laquelle vous pourrez participer intégralement, gratuitement, puisque vous aurez déjà ""payé"" un ticket d'entrée pour participer à l'Élixir d'Or. La troisième c'est de mettre en vente le lot aux enchères et de distribuer le produit de la vente à des associations. Et la quatrième, c'est l'option qui a évidemment ma préférence, ça serait d'organiser un immense banquet avec les joueurs venus du monde entier et tous les partenaires viticoles pour célébrer le jeu et dévoiler les solutions à ce moment là."
7,FAQ1-7,L'utilisation de Google Maps et des autres logiciels?,"Là-dessus, il me semble que le parchemin est extrêmement clair sur l'indication qui va vous permettre de faire vos calculs, vos éventuels tracés divers. Donc je ne vais pas pouvoir être plus précis que le parchemin ne l'est."
8,FAQ1-8,Est-ce qu'il y a des indices dans le testament?,"Alors c'est extrêmement clair : tout ce qui va concerner les textes écrits, Testament, poème, textes des énigmes de 1 à 6, fin du jeu etc, plus les visuels, tout peut, ou ne pas être utile. Tout ce qui va concerner par contre les mentions légales, ou la liste des partenaires ou un peu ce qui entoure le jeu ce sont des mentions qu'on met pour le jeu, mais qui ne vont pas contenir d'indices."
9,FAQ1-9,"La chasse tourne-t-elle autour d'un siècle en particulier ou pas? L'ensemble des énigmes auraient-elles pu être résolues en 1784? Est-ce que toutes les recherches doivent se focaliser avant 1784? Ou est-ce qu'il peut y avoir des sauts temporels, des sauts dans le temps?","Je ne vais pas pouvoir vous répondre car cela impliquerait de bien comprendre quel est le rapport au temps du Comte de Saint Germain. Et ça, à ce stade du jeu, c'est encore à vous de le comprendre parfaitement."
10,FAQ1-10,C'est normal que le jeu d'échecs soit mal positionné? Sur une des illustrations un élément visuel a été modifié par rapport à sa version historique. Aurait-il pu être représenté sous sa forme d'origine sans que ça puisse avoir de conséquences sur les résolutions des énigmes? Est-ce qu'il y a une erreur sur le visuel de l'échiquier par rapport à la case en bas à gauche et à la reine et au roi qui seraient intervertis?,"Je dirais que si le Comte devait repeindre ce tableau il le ferait strictement à l'identique. Et que de façon générale, l'échiquier n'est pas conventionnel et il est possible que le Comte joue à ses propres règles."
11,FAQ1-11,Est-ce qu'il y a une erreur à l'énigme 1 au 6ème élément?,"Si le Comte devait réécrire [ndr: l'énigme 1], et d'ailleurs c'est ce qu'il fait pour les traductions dans les 6 autres langues, il la réécrirait strictement à l'identique."
12,FAQ1-12,"Le fait de dissocier les énigmes des illustrations en créant un salon par énigme et un par illustration, plutôt qu'un salon par énigme + illustration, doit-il être interprété comme votre volonté de ne pas borner l'usage des visuels ? Et si non, confirmez-vous qu'il y a un seul visuel par énigme et une seule énigme pour un visuel ?","Le Discord et son arrangement, il vous appartient. Si vous voulez en changer la structure, les modalités, le Discord il est là pour vous, donc nous on se pliera à ce que vous souhaitez comme nouvelle forme de Discord. Donc si il faut rajouter un salon INRI ou changer un peu l'arrangement du Discord c'est propre à vos convictions, propre à vos théories. Donc là-dessus, on sera pas forcément guides mais plutôt suiveurs."
13,FAQ1-13,Un élément d'un visuel peut-il servir à plusieurs énigmes?,"Alors sur la première question, à ce stade du jeu, c'est à vous de bien comprendre la mécanique de l'ensemble du jeu. Comment fonctionnent les énigmes? Comment elles s'imbriquent éventuellement? Est-ce que les visuels sont autonomes? Est-ce que les visuels sont à relier un par un avec un texte des énigmes? Ça je ne pourrais pas donner plus de précisions aujourd'hui."
14,FAQ1-14,Y a-t-il dans les images des éléments qui sont juste de la déco?,"Concernant des éléments de décoration, alors oui je vous confirme que tout dans les visuels n'est pas forcément complètement utile au jeu et donc c'est à vous de discerner ce qui va vraiment vous servir à la résolution du jeu et ce que vous allez devoir mettre de côté. Les visuels ont été rédigés par Mathilde Leroy, qui ne connait pas la solution, qui est une illustratrice parisienne de talent, et qui a reçu un cahier des charges de la part du Comte de Saint Germain pour pouvoir réaliser les 6 illustrations."
15,FAQ1-15,Les futurs acheteurs étrangers vont payer pour partir avec 1 mois de retard (ou plus) avec les mêmes chances?,"Je nuancerais cela avec, certes, ils commencent avec un peu de retard, mais ils vont aussi avoir accès à toutes les solutions, à tous les partages de théories que vous aurez pu faire à ce stade du jeu. En sachant que des chasses précédentes ont montré que des joueurs qui n'avaient pas forcément commencé au début, parfois plusieurs années après le début du jeu, ont quand même pu remporter la chasse au trésor. Ça a été le cas, notamment aux Etats-Unis, du trésor de Forrest Fenn."
16,FAQ1-16,Les traductions des versions étrangères seront disponibles (en démat) ou il faudra repasser à la caisse ?,"Il y a deux éléments de réponse à cela. Le premier c'est qu'on va mettre en place une version multilingue pour justement éviter que des questions financières créent de la disparité, une concurrence déloyale entre les joueurs. Et la seconde, c'est vraiment un avertissement, c'est que le fait de posséder les versions étrangères ne vous donne pas d'indice et ne va pas vous aider. Ça c'est quelque chose que je peux vous dire dès aujourd'hui."
17,FAQ1-17,Un Moldave ou un Chilien ont-ils autant de chance de résoudre la chasse qu'un français?,"Oui. La difficulté et le calibrage du jeu est strictement la même quelque soient les versions linguistiques. Il n'y aura évidement pas toutes les langues disponibles. Je ne sais pas quelle langue ils parlent en Moldavie mais si c'est le moldave ou une langue des balkans, malheureusement, il faudra que cette personne soit anglophone. Mais à part les barrières de la langue, le jeu sera quand même disponible au moins en 6, 7 langues. Donc ça devrait permettre à l'ensemble de l'humanité globalement de pouvoir y jouer."
18,FAQ1-18,Les éléments de référence choisis pour la chasse pourraient-ils être qualifiés de pérennes?,"Oui tout à fait. On s'est pas projeté à plus de 5 ans mais vous pouvez considérer que dans 5 ans, les éléments qu'on a choisi pour le jeu seront strictement identiques à aujourd'hui."
19,FAQ1-19,"Ne manquerait-il pas un élément typographique dans l'une des phrases de l'énigme 2, élément qui permettrait de mieux comprendre quelque chose de précis? Est-ce qu'il y a un élément manquant?",La réponse est non.
20,FAQ1-20,Est-ce qu'on peut jeter le carton qui contenait la carte? Je sais que dans certains jeux d'énigmes la boite à parfois son importance.,"Vous pouvez le jeter mais pensez bien au recyclage. Mais de façon générale, vous pouvez le jeter, il ne contient aucun indice. Tout simplement parce que certains joueurs n'ont pas cette boite car ils ont acheté la version dématérialisée"
21,FAQ1-21,"On est bien d'accord (ou pas) que chaque énigme et chaque visuel nous parlent du vin, vignoble, oenologie, en plus du reste?",Pas forcément. C'est le thème central du jeu mais c'est à vous de comprendre à quel stade du jeu le thème du vin va être important pour pouvoir résoudre les énigmes.
