,,Question,Réponse
1,FAQ6-1,"Sur l'illustration 1, la croix rouge sur l'habit du personnage fait-elle référence à la croix pattée des Templiers ou à la croix Saint Georges ?","Impossible de vous répondre. Cette croix est bien à identifier, mais c'est à vous le faire. Je ne peux pas aussi simplement que ça vous vous dire à quoi cette croix correspond."
2,FAQ6-2,Les différents raisins de la grappe sont ils précisément quantifiables et facilement identifiables?,La réponse est non.
3,FAQ6-3,"Question que j'ai déjà posée pour la FAQ 5, mais j'ai oublié de préciser : elle concerne l'énigme 5. Donc je reprends : “Tout ce qui brille n'est pas or”, validez-vous cette expression dans le contexte de la 5 - Vitriol?","Oui, je valide."
4,FAQ6-4,"Vous avez répondu en FAQ 5 que le “L” majuscule de Saint-Clair-sur-L'Elle aurait dû être écrit en minuscule, mais que ça ne changeait rien par rapport à l'énigme. Qu'en est-il alors du “C” de “Clair” ? Et toujours dans l’énigme 1, du “V” majuscule de “Veritas” et du “n” minuscule de m-r-sm.",Alors Veritas a une majuscule pour souligner son importance sur le reste mais n'est pas capital dans le jeu. Vous pouvez considérer que c'est une petite faute d'orthographe.
5,FAQ6-5,Vous m'avez répondu dans la FAQ 5 que la grappe est visible de jour comme de nuit. Faut-il cependant un appareil spécifique pour la voir de nuit ou par temps couvert? Je reviens également sur le “S” volontaire de raisins. Peut-il être présent pour pouvoir s'associer à un autre mot?,"Non, vous n'avez pas besoin d'appareil spécifique. Et s'agissant du “S” de raisins, c'est la même chose que pour le “O” qui fait beaucoup débat sur l'un des éléments de l'énigme  1. Ce sont deux éléments qui vous permettent d'aller un peu plus loin dans l'énigme 1 pour la résoudre complètement. Car voilà, que ce soit sur le vocabulaire ou l'étymologie, ça ne vous donnera pas l'explication de ce “S” ou de ce “O”."
6,FAQ6-6,La grappe de raisins est visible de nuit. Mais est-elle visible une nuit nuageuse sans lune ou éclairage public et est en panne?,"Merci beaucoup pour vos questions E, toujours pleines d'humour, mais pour vous répondre: oui, elle serait encore visible malgré cela."
7,FAQ6-7,Est-ce que miser sur le bon cheval peut s'avérer payant à plus d'un titre?,Pas dans l'énigme où c'est écrit. Mais il y a plusieurs chevaux dans le jeu et donc c'est important de bien miser toujours sur le bon cheval.
8,FAQ6-8,La grappe de raisins se voit tout l'année à n'importe quelle heure du jour comme de nuit. Mais se voit elle dans le monde réel? Ou n'existe-t-elle plus?,"Et bien écoutez, c'est sans doute la meilleure question que j'ai reçue sur la grappe de raisins, car en effet, une partie de cette grappe n'existe plus aujourd'hui.  Vous avez tout à fait raison."
9,FAQ6-9,"Dernièrement, vous avez dit que la grappe n'était pas comestible. Pour autant est-elle liée à une forme de culture au sens large du terme? Mais peut-on alors s'en nourrir au sens figuré ?","Oui, tout à fait."
10,FAQ6-10,"Dernièrement, vous avez dit que la grappe n'est pas comestible. En plus de ne pas être comestible, elle me provoque une indigestion?","Alors si vous parlez d'une indigestion mentale, bien sûr, c'est tout à fait possible. Donc il vaut mieux y être un peu préparé."
11,FAQ6-11,Vous nous a demandé si le blaireau et le cheval de Troie étaient de mèche ? Nous vous avons demandé pardon. Vous avez répondu non. Qu’avez-vous compris la question?,J'ai réfléchi au moyen d'associer dans votre esprit le blaireau avec le cheval. Je n'en ai pas trouvé qui pouvait vous permettre d'avancer dans l’énigme. Donc je vous ai répondu que non.
12,FAQ6-12,"J'ai reçu le parchemin aujourd'hui. Dans un premier temps, je m'intéresse aux lettres rouges. Pensez-vous que je peux les comprendre dès à présent? Ou me conseillez vous de comprendre certains points des énigmes avant de chercher et comprendre ces lettres rouges?","Vous ne les comprendrez pas sans doute tout de suite, mais vous pouvez commencer par là comme par autre chose. Dans tous les cas, il faudra passer par là à un moment."
13,FAQ6-13,Est ce que la charade de l'énigme 4 nous donne le nom d'une ville?,"Ça, évidemment, je ne peux pas vous répondre, c'est trop précis."
14,FAQ6-14,Est-ce envisageable d'avoir deux pièces différentes pour arriver à deux résolutions différentes ou deux pièces différentes pour une résolution identique?,Non. Il n'y a qu'une seule pièce à trouver pour cette énigme.
15,FAQ6-15,Quelle image correspond à l'énigme 2 sur le parchemin? Ce n'est pas clair.,"Que ce soit sur la version numérique ou le parchemin physique, les images se lisent de gauche à droite, puis de haut en bas, comme sur une bande dessinée. Après, sur leur association avec les énigmes écrites, je me suis toujours refusé à la préciser. Donc ça, c'est à vous de comprendre."
16,FAQ6-16,"Dans le Nota Bene du coup de pouce, il est dit qu’il ne s'agit pas d'une septième énigme, vous ne pourrez pas imbriquer ce nouvel élément dans le corpus déjà existant qui se suffit en lui même. En d'autres termes, cela suggère que cet élément est distinct des énigmes précédentes et qu'il ne faut pas essayer de le lier ou de l'inclure dans un ensemble de problèmes ou d'énigmes existants, car il est autonome et indépendant. Dans ce cas, il s'agit effectivement de confirmation, comme je vous l'ai expliqué. Mais quid des choses cachées pour les plus pertinents? Sont-ce également des confirmations?","Oui, ce sont toutes des confirmations. Ce ne sont pas une nouvelle énigme, donc ils ne vont pas vous permettre d'élargir le jeu mais plutôt de confirmer ce que vous avez pu trouver qui était bon dans le jeu. Donc vous pouvez en faire l'économie si vous avancez déjà suffisamment bien dans le jeu."
17,FAQ6-17,Un support littéraire est-il nécessaire pour résoudre les symboles présents sur la tranche du livre de l’illustration 2?,"C’est trop précis, je ne peux pas répondre à la question."
18,FAQ6-18,"Pouvons-nous penser que Dante a une place importante dans la chasse et si oui, à quel niveau?","Alors oui, vous pouvez tout à fait le penser car Dante c'est l'un des plus grands génies de l'Italie. Après, je ne pourrais pas évidemment répondre sur quel est son rôle dans la chasse, est-ce qu'il a un rôle et quel serait-il précisément?"
19,FAQ6-19,"Pour le poème, si je vous dis qu'une strophe se lit à une énigme 1 à 6, vous me conseilleriez ou pas de creuser davantage dans ce sens?","C'est une très bonne question. Je vous encourage en effet à creuser dans ce sens car il est important de trouver l'architecture du jeu et l'intérêt du poème par rapport au jeu. Donc oui, en tout cas, vous avez commencé par un très bon axe."
20,FAQ6-20,"Après les Égyptiens, les Germaniques, les Grecs (question de Lazulie) ont-ils leur place dans l'illustration 2?","Je n'ai jamais donné les références culturelles ou géographiques, que ce soit sur Illustration 2 ou ailleurs. Donc je ne peux pas répondre à ça."
21,FAQ6-21,"Bonsoir, 3C64 se déchiffre-t-il: A, seul. B, grâce à l'entièreté de l'énigme 3. C, une des illustrations. D, la réponse D. Ou E, un élément externe au parchemin.","Bon, c'est malin, mais je ne peux pas répondre à cette question. C'est trop précis. C'est à vous de comprendre comment déchiffrer 3C64. Et ce que ça apporte évidemment à l'énigme 3."
22,FAQ6-22,Un code morse est-il caché dans une des illustrations?,"Je ne peux pas vous répondre sur exactement quels sont les cryptos qui sont utilisées. Par contre, je peux en effet vous dire qu'il y a des cryptos cachés dans l'illustration, dans les illustrations tout comme dans les textes."
23,FAQ6-23,"Bonjour, Le Comte de Saint-Germain, d'après les apparences, il n'est jamais question de la gent féminine, que ce soit dans les textes des énigmes ou les visuels. Maintenant, nous devons nous méfier de ses apparences. Le CSG était un mystificateur et un séducteur. De plus, dans tout conte digne de ce nom, il y a généralement une demoiselle en péril à sauver et une sorcière malintentionnée. Alors, misogynie et réelle ou bien déguisée?","Wow vous y allez pas de main morte en accusant le Comte d'être misogyne. Je pense pas. Je pense qu'il faut se méfier des apparences, surtout au siècle des Lumières qui portait quand même le travestissement à un haut niveau avec le Chevalier d'Éon ou autre, et où même la féminité était très importante. Il est précisé dans le testament que le Comte a aimé des reines. Et je pense que l'Amour a toute sa place dans le jeu pour qui en comprendra la portée et notamment le symbole. [...] Et pour juste revenir et finir ma réponse sur la question de Diogène, ce qui peut être important par exemple, c'est de savoir comment la séduction pouvait être faite par un personnage comme le Comte de Saint-Germain. Par quels moyens?"
24,FAQ6-24,"L'épée de l'illustration 6 est-elle la même que celle de l'illustration 4? Certains éléments sont différents: la forme de la poignée, la longueur de la lame et le nombre d'ondulations.",C'est la même épée. C'est la même épée strictement sur ces deux illustrations.
25,FAQ6-25,La grappe est-elle visible sur StreetView?,"Je ne sais pas. Je n'ai pas regardé. Après, je pense qu’une grande partie non. Certainement pas."
26,FAQ6-26,Vous avez répondu dans la FAQ 2 qu'il n'y avait pas d'interprétation à faire en anglais. Y’en a-t-il à faire en langue germanique?,Non plus. Pas dans la version française en tout cas.
27,FAQ6-27,Doit-on se fier à l'allure de votre personnage pour définir son identité?,Non.
28,FAQ6-28,"Nous devons travailler sur myMaps mais pourrais-je être amenés à consulter, voire travailler sur d'autres cartes plus anciennes?","Consulter, oui. Travailler, c'est à dire les utiliser pour faire des tracés, non."
29,FAQ6-29,Peut-on ajouter l'occultisme et la Kabbale dans le contexte de cette chasse au trésor?,"Oui. Oui, tout à fait avec l'ésotérisme de façon générale."
30,FAQ6-30,Si je vous dis que je suis arrivé jusqu'à l'emplacement du trésor en menant ma quête comme dans un de ces livres jeu des années 90 intitulé “Des livres dont vous êtes le héros”. Suis-je dans le vrai?,"Pour avoir personnellement adoré ce type de format, oui. La logique peut se tenir car en effet vous avez un chemin et vous avez des choix à faire qui vont vous amener d'une page à l'autre. Dans le cas de l'Élixir, d'un endroit à un autre peut-être, ou d'une idée à une autre. Et forcément, si vous faites les mauvais choix, vous perdez. Et c'est vous le héros de votre propre aventure dans le jeu. C'est vous qui pouvait gagner et trouver le coffre. Donc oui, quelque part, il s'agit d'un livre dont vous êtes le héros."
31,FAQ6-31,"Dans le visuel 3, le fait que deux personnages soient dans un trou est-il important?",Oui. 
32,FAQ6-32,"Avec notre somme de connaissances, pouvons-nous uniquement utiliser le parchemin et myMaps avant de trouver l'élixir - afin de trouver l’Élixir pardon - disons, à 90 %? Ou avons-nous besoin de faire quelques petites transgressions et d'aller chercher des informations simples mais très guidées par le parchemin?","Vous n'avez besoin que d'acheter entre guillemets le parchemin, donc vous n'aurez pas besoin d'acheter des livres rares ou autres, ou de voyager ou de vous promener un peu partout. Donc c'est le parchemin qui vous sert de base. Mais évidemment, le parchemin vous ouvre aussi tellement de perspectives, de pistes de réflexion qu'il faut en sortir pour mieux y revenir. Et donc non aux 90 %, certainement pas. Je pense qu'il faut vraiment bien sortir du parchemin pour pouvoir réussir le jeu. Tout en de tout en respectant ce qu’il vous indique de faire."
33,FAQ6-33,Devons-nous apprendre à se servir d'un cercle de réflexion?,"Non. Non, vous avez pas besoin d'un cercle de réflexion. J'imagine pour les latitudes longitudes."
34,FAQ6-34,"Bonjour, nous avons quatre éléments en rouge dans les énigmes. Numéro de titres, textes dans les énigmes 2 et 5 et lettres dans le poème. Y’a-t-il d'autres éléments rouges à associer?",Je ne peux pas répondre à cette question elle est trop précise. 
35,FAQ6-35,Est-ce que les mots artefact et relique sont pour vous des synonymes ou bien représentant des choses bien différentes?,"Une relique peut être associée à un artefact. Je crois pas que l'inverse soit vrai. Donc pour moi, c'est bien des choses qui peuvent être considérées comme différentes."
36,FAQ6-36,"Vous avez dit en FAQ 5 “l'arbre est précis et en l'identifiant, vous comprendrez son lien avec la chasse”. Il me semble que certaines taches rouges au milieu du feuillage soient des feuilles ou des fleurs de l'arbre. Confirmez-vous mon interprétation? Et si oui, cela est-il destiné à nous aider à identifier l'arbre?","Je vois ce que vous voulez dire. Après, il me semble que c'est un choix de l'artiste puisque la couleur rouge - est plutôt associée au ciel et le feuillage de l'arbre est plutôt vert. Par contre, que le ciel soit de couleur rouge, rose-rouge, ça ça a son importance. Les deux ont leur importance. Mais l'arbre n'est pas un arbre au japonais avec des feuilles roses."
37,FAQ6-37,"Bonjour, connaissons-nous le personnage présent sur les illustrations? A-t-il réellement existé ou provient-il d'un monde fictif?","Non, vous vous le connaissez."
38,FAQ6-38,"Vous a dit que l'arbre est précis et utile, mais vous n'avez pas su comment répondre à la question demandant s'il était réel ou imaginaire. Pourtant, vous avez également dit que cette chasse était un conte, donc un type de récit où, par définition, le réel se mêle justement à l'imaginaire. Donc, peut-on dire que, bien qu’imaginaire, l'arbre a une forme précise qui lui confère au fond une utilité bien réelle? Et qu'importe son essence.","Cet arbre est symbolique, c'est son identification qui peut être utile. Je ne dirais pas qu'il est réel ou imaginaire. Je dirais qu'il a plutôt une essence culturelle."
39,FAQ6-39,Le logo de L'Élixir d'or et de l'énigme 1 ont l'air d'avoir un lien. Est-ce le cas ou une simple coïncidence?,"Non, il y a bien un lien. Après, le lien n'est pas que lié à l'énigme 1. Comme le logo incarne la chasse, il fallait que le logo incarne le jeu dans sa globalité."
40,FAQ6-40,"Est-ce que la reconstitution d'un monument existant, ayant existé ou imaginaire hors de sa terre d'origine lui permettrait, malgré tout de conserver toute sa symbolique et ses attributs qui le caractérisent? En d'autres termes, y’a-t-il transposition de ce qui définit l'essence même du monument original vers une copie, lui conférant ainsi les mêmes prérogatives?","Attendez, je relis rapidement la question. Je n'ai pas tout compris, alors j'ai l'impression que ça dépend des monuments. Peut-être que pour certains monuments religieux ou qui revêtent une importance culturelle majeure dans le pays, la région où ils se trouvent, peut-être que si il est détruit et reconstruit à l'identique, son aura et son essence sont conservés. Je ne pense pas que ça s'applique à la plupart des monuments."
41,FAQ6-41,De quelle couleur est le cheval blanc de Charles Quint?,"Très drôle, je n'en sais rien. Je ne sais pas quel est le cheval de Charles Quint."
42,FAQ6-42,"Dites-moi, lors de la vidéo du coup de pouce, seule la phrase est-elle à prendre en compte ou devons nous également analyser la vidéo dans son intégralité?",Seule la phrase est à prendre en compte en effet.
