,,Question,Réponse
1,FAQ4-1,"J'ai remarqué des petits points, des défauts présents sur les illustrations à intervalle régulier. Est-ce normal?","Oui, tout à fait. Il s'agit d'un grain rajouté par l'artiste. Ça n'a aucune incidence sur les énigmes."
2,FAQ4-2,Est-ce que la place et la couleur des cavaliers a-t-elle son importance sur l'échiquier?,"Oui, tout à fait."
3,FAQ4-3,Est-ce que le Tour de France est passé entre deux lignes? Et en a croisé deux?,"Malheureusement, je ne peux pas répondre car je n'ai pas regardé. Je n'ai pas eu le temps de regarder le Tour de France cette année. J'essaierai de me rattraper l'année prochaine."
4,FAQ4-4,Est-ce qu'il y a des indices dans la vidéo trailer Élixir d’Or?,Non aucun indice. Le premier indice viendra à la fin de l'été.
5,FAQ4-5,Pourquoi vous dites qu'une personne ayant résolu les énigmes à 100 % arrivera à Vaux-le-Vicomte?,"Car cette personne sera invitée pour une remise du prix au château. Mais le coffre, par contre, n'est pas à Vaux-le-Vicomte et je vous déconseille d'aller creuser sur le domaine qui est extrêmement bien gardé."
6,FAQ4-6,"Doit-on utiliser le mode satellite de Google Maps/Earth en repérant des éléments de relief, et cetera. Ou peut-on rester sur des versions standard?",Vous pouvez rester sur la version standard de MyMaps. C'est le logiciel le plus simple.
7,FAQ4-7,"Si on suppose qu'une énigme est séparée en plusieurs sous énigmes, exemple avec l'énigme 2, deux parties à décrypter, partie en rouge. Ces différentes parties doivent nous aider à trouver un seul résultat? Ou alors est-ce que ça peut être plusieurs résultats?","Alors ce que je peux vous dire, c'est que toutes les énigmes comportent au moins deux solutions à trouver, qui ne sont parfois pas reliées directement entre elles."
8,FAQ4-8,La grappe de raisins est-elle visible toute l'année ou uniquement à un moment précis?,Elle est visible toute l'année.
9,FAQ4-9,"Les illustrations peuvent-elles être considérées comme des énigmes à part entière, amenant une solution indépendante des énigmes écrites?","Non, les visuels et les textes convergent ensemble vers la même solution."
10,FAQ4-10,"L'énigme 4 propose une charade qui dénombre 6 items et un tout suivi d'un paragraphe final. La chasse est constituée de six énigmes numérotées d'un poème, celui du texte inri, puis le mot fin. Serait-il farfelu de penser que cette énigme serait une sorte de plan de lecture, voire d’action pour la chasse?","Non, rien de farfelu. Alors, je ne vous dirai pas si vous avez raison, mais vous avez raison de donner de l'importance au poème et à la fin en tout cas. Donc continuez sur cette lancée."
11,FAQ4-11,"J'ai résolu les 6 énigmes, je suis prêt, l'épée est acquise, je l'ai sous les yeux. Est-ce que je dois changer d'échelle à ce moment précis?","C'est une très bonne question. Et oui, la réponse est oui. Vous devez changer d'échelle à ce moment là."
12,FAQ4-12,Peut-on voir la grappe de raisins quand il fait jour?,Oui.
13,FAQ4-13,"Au sujet de “mon tout” de la charade, on nous a dit que ce n'était pas une phrase. Dans ce cas, pouvez-vous nous dire à partir de combien de mots pour vous on obtient une phrase?","Bon, je vous en ai déjà trop dit là-dessus, donc je ne répondrai pas."
14,FAQ4-14,La charade de l’énigme 4 conduit-elle à un élément caché dans les illustrations?,"Alors, c'est un peu trop précis, donc je ne peux pas répondre."
15,FAQ4-15,Cette chasse aurait-elle pu être lancée avec ce même parchemin à l'identique il y a une vingtaine d'années? Disons en 2003.,La réponse est non.
16,FAQ4-16,Vous nous dites que nous aurons besoin de Maps pour les divers tracés car il prend en compte la courbure de la Terre. Très bien. Cependant le nombre de calques sur cette application est limité. Est-ce que framacarte est aussi fiable et précis?,"Alors, dans mon souvenir framacarte ne prenait pas en compte les courbures. Et donc ça ça peut un peu enlever en précision. Mais vous pouvez utiliser n'importe quel logiciel ou même carte physique pour des distances courtes. Simplement quand vous devez faire des tracés assez longs, c'est là où la courbure de la Terre va intervenir et peut modifier assez largement vos tracés. Donc je resterais sur MyMaps si j'étais vous."
17,FAQ4-17,"Il y a plusieurs raisins, donc ""raisins"" s'écrit au pluriel. Cela demeure une faute d'orthographe en français puisque, bien que cela paraisse étrange, une ou la grappe de raisin s'écrit bien raisin au singulier quand bien même il y a plusieurs raisins. Partant de là, le S mis à raisins par le Comte a-t-il un sens dans la résolution? S'agit-il seulement d'une méconnaissance et donc d'une simple faute d'orthographe?","Non, il ne s'agit pas d'une simple faute d'orthographe. Pour le reste, il y en avait quelques unes dans les parchemins et je les ai reconnues bien volontiers, mais pas ici."
18,FAQ4-18,"Vous nous avez dit qu'il fallait être de taille pour affronter le mal. Je reviens sur la FAQ 2, je vous avais posé une question sur le mal jumeau, est-ce que vous pouvez répondre à cette question désormais? Ce à quoi je rajouterais: si ce mal est jumeau l'est-il en tant que double maléfique du bien ou d'un autre mal?","Ah ! Alors c'est une très bonne question, mais malheureusement, pas plus qu'il y a 2 FAQ, je ne peux vous répondre à cette question aujourd'hui."
19,FAQ4-19,"Dans l'image 2, est-ce volontaire d’avoir mis une auréole en arrière de la bougie à gauche et une auréole au devant à droite?","Non, ce n est pas volontaire et ça n'a pas d'incidence."
20,FAQ4-20,"Concernant Libra dans l'illustration 4, est-ce que l’on aurait pu écrire le A autrement? Ou autrement est-ce que le fait que la barre du A manquante est importante?",Considérez que c'est un A normal. La barre aurait pu être mise.
21,FAQ4-21,Est-ce que la couleur des robes a été mûrement réfléchie? Entre autre à partir de la deuxième illustration.,"Alors, je vous confirme qu'une robe violette ne veut pas dire la même chose qu'une robe verte. Et par contre, le visuel 2 peut vous permettre de deviner la couleur de la robe également. Il n'y a que sur l'illustration 1, que vous ne voyez pas la couleur du personnage, la couleur de la robe."
22,FAQ4-22,"A propos du jeu du Faro. Visuellement, on constate que la plupart des cartes ont 5 jetons. Cependant, vous avez confirmé en FAQ 3 qu'il n'y avait que 4 jetons associés au valet. La répartition n'est donc pas uniforme. Cela signifie-t-il que l'on puisse éliminer d'office tout décodage qui s'appuierait sur l'hypothèse que le nombre de jetons pour les cartes partiellement cachées (cartes 6, 7, 8 à 9) est de 5?","Ce n'est pas parce qu'une ligne n'a pas cinq jetons que vous ne pouvez pas conjecturer sur le nombre de jetons des lignes cachées. Voilà, c'est à vous de faire cette conjecture."
23,FAQ4-23,La grappe attendue à l'énigme 1 peut-elle être matérialisée par un point précis sur notre carte?,Je ne peux pas répondre à cette question.
24,FAQ4-24,Pouvez-vous nous dire si le coffre est enterré à moins de cinq kilomètres des côtes?,"Pareil, c’est un peu trop précis je ne peux pas y répondre."
25,FAQ4-25,"Est-ce que la résolution primaire des énigmes est possible individuellement? Par exemple, comme pour l’énigme 2, je peux résoudre le décryptage du code et trouver la phrase, même si je risque de ne pas comprendre tout son sens sans les autres énigmes. En est-il de même pour toutes?","Alors vous pouvez en effet trouver des décryptages, des solutions partielles, sur toutes les énigmes individuellement."
26,FAQ4-26,Faut-il sortir nos outils de mesure pour les illustrations?,"Non, car les dimensions de la version dématérialisée ne sont pas les mêmes selon le support que vous utilisez pour les visualiser. La taille de votre smartphone, de votre ordinateur, font varier la taille des illustrations telles qu'elles apparaissent. Donc, il n'y a pas de mesures précises."
27,FAQ4-27,"""Regarde les hommes tomber"", le verbe à l'infinitif et non pas au passé composé signifie-t-il une action?","Oui, tout à fait. Il faut que vous regardiez les hommes tomber et que vous reliez les cendres."
28,FAQ4-28,"Dans votre FAQ 3, vous nous déconseillez de comparer les versions francophones et anglophones. Cependant, il me semble que ça pourrait être une option pour limiter nos recherches. Par exemple, si le mot ""temps"" est traduit par"" time"", il s'agira du temps qui passe. Mais s'il est traduit par ""weather"", il s'agirait du temps qu'il fait. Et donc, comparer 2 ou 3 versions pourrait-il orienter nos recherches vers l’Élixir d’Or?","Alors oui, la comparaison peut éliminer certaines options. Mais le profit de ces éliminations, et donc de ce resserrement, est vraiment moindre et il n'est pas très grand par rapport, à l'inverse, aux écueils dans lesquels vous pourriez potentiellement tomber en comparant. C'est pour ça que je reste sur ma position, à savoir qu'il vaut mieux ne pas s'amuser à comparer les différentes versions et se concentrer sur la version linguistique dans laquelle vous êtes le plus à l'aise."
29,FAQ4-29,Est-ce que certains éléments extraits des différents visuels sont à considérer comme des pièces permettant de reconstituer un ou plusieurs super éléments façon puzzle?,"Ça, je ne peux pas vous répondre."
30,FAQ4-30,"Suite à votre sondage, comment arrivez-vous à être aussi précis sur le pourcentage de résolution des joueurs?","Tout simplement parce qu'il y a un nombre très précis de solutions intermédiaires, de solutions importantes, et d'éléments importants à trouver dans l’Élixir d’Or. Et donc, j'ai simplement à voir dans les cheminements qui me sont envoyés, combien de pourcentage de ces de ces éléments et de ces solutions ont été trouvés par les joueurs."
31,FAQ4-31,Est-ce que le lieu où est enterré l'Élixir est visible et reconnaissable sur Google Maps?,"Tout à fait. Il vous suffit de zoomer, mais c'est tout à fait reconnaissable."
32,FAQ4-32,L'identification de notre protagoniste à capuche des visuels est-elle importante?,"Oui, le personnage n'est pas anodin, loin de là."
33,FAQ4-33,"Au cours de nos résolutions des énigmes individuelles, serons-nous amenés à suivre plusieurs pistes en simultané, se rencontrant en une solution unique?","Alors, si vos pistes sont cohérentes et suivent un fil rouge qui est confirmé par le parchemin, oui, c'est possible."
34,FAQ4-34,L'emplacement exact du coffre peut-il être défini depuis chez soi ou est-il plus juste d'affirmer qu'on obtient un mode d'emploi à appliquer sur place à l'issue des énigmes?,"Non, tout est trouvé depuis chez vous et se confirme une fois sur place."
35,FAQ4-35,La zone plus claire qu'on voit entre les pieds de vigne à droite du visuel 1 aurait-elle pu être du même vert que l'arrière plan?,"Oui, oui, ça ne change rien."
36,FAQ4-36,Quelle serait votre définition du terme reliquat sur cette chasse? Deuxième tentative.,"Je dirais que Max Valentin a eu du génie avec ces fameux reliquats qui ont fait couler beaucoup d'encre, et qui continuent d'ailleurs à faire couler beaucoup d'encre sur la Chouette d’Or. Mais je dirais que l'Élixir d'Or n'est pas la Chouette d'Or et donc a ses propres mécanismes. Qu'il s'agisse de reliquats liés à la Chouette d'Or, d'autres éléments du jeu, l'Élixir d'Or est différent."
37,FAQ4-37,Avez-vous déjà lu au moins un livre de Paolo Coelho?,"Oui, tout à fait, le plus connu."
38,FAQ4-38,Les esquisses des visuels réalisées au crayon papier présentées dans votre dernière vidéo ont-ils été réalisés par votre graphiste ou par le créateur des énigmes?,"Ils ont été réalisés par l'illustratrice. Et évidemment, ils tiennent compte aussi des changements qui ont pu être faits lors de mes échanges directs avec Mathilde Leroy pendant qu'elle réalisait les visuels."
39,FAQ4-39,"Les canons à Bannockburn, est-ce un anachronisme volontaire?","Je crois que les canons sont apparus au 12ᵉ/13ᵉ siècle, donc je ne crois pas que ce soit anachronique. Par contre, oui, les canons sont là pour métaphoriser la guerre, la bataille. Il n'y avait pas de canons, visuellement, à Bannockburn et au Mont Sion, lorsque le Comte y était."
40,FAQ4-40,"Une question par rapport à l'arbre du premier visuel, qui est central, très imposant et qui a forcément un rôle dans la quête. Est-il utile, nécessaire à la résolution de l'énigme? Est-il là pour planter un décor?","Alors l’arbre est en effet très important. Il plante le décor, oui, mais il a aussi une autre utilité dans le jeu."
41,FAQ4-41,Est-ce que l'on se tient à égale distance au début de notre chemin ou tout au long de notre chemin jusqu'au lieu familier?,"Ça, je ne peux pas vous répondre."
42,FAQ4-42,"Il semblerait que votre version virtuelle détient plus d'informations sur votre histoire que l'histoire elle-même. Par exemple, en ce qui concerne votre découverte de l'épée flamboyante en Égypte, aucun récit historique ne le mentionne. De fait, peut-on se fier à ce vous virtuel?","Alors, je précise, pour ceux qui ne sont pas sur le Discord, que nous avons lancé un robot qui simule le Comte de Saint-Germain et qui, par contre, ne connaît pas les solutions du jeu. Et je vous confirme qu'il raconte parfois n'importe quoi et donc il n'est pas du tout fiable sur énormément de réponses qu’il peut vous fournir d'après ce que j'ai pu lire en tout cas. Donc non, clairement, cette histoire d'épée flamboyante en Égypte je pense que ça n'a jamais existé."
43,FAQ4-43,"La rose des vents, un objet fort utile au navigateur, trône aussi en majesté dans le premier visuel; Elle nous sert sûrement de guide. Doit-on à un moment naviguer et traverser mers ou océans pour résoudre l’Élixir? Merci de proscrire “Je ne peux pas vous répondre”.","Je vais vous répondre. Cette chasse au trésor est une chasse mondiale et donc si vous ne traversez pas d’océans ou de mers, vous risqueriez de limiter un peu vos recherches. Voilà."
44,FAQ4-44,"Vous avez dit que toutes les couleurs sont importantes. J'ai donc plusieurs questions à ce sujet. Nous conseillez-vous d'abord d'étudier chacune d'entre elles de façon séparée, puis ensuite de procéder à des croisements de données entre elles pour enfin conserver le strict nécessaire afin de nous conduire vers lumière?","Alors, ce mode d'emploi est beaucoup trop précis pour que je puisse vous répondre donc je vais passer."
45,FAQ4-45,"Dans le visuel au cheval de Troie, celui-ci a une ouverture sur le côté. Est-ce que le personnage de ce visuel serait sorti par là? Et à ce propos, ce personnage a-t-il un nom et doit-on s'identifier à lui en tant que joueur?","Oui, ce personnage est à identifier. Il est important, tout comme le cheval de Troie est important. Par contre, je ne peux pas vous dire d'où vient le personnage."
46,FAQ4-46,Le village de Charmilly vous est-il familier?,"Ah, je crois que c'est Chamilly. Et cette question est un peu trop précise. Je connais le village de Chamilly, mais je ne pourrais pas vous dire s'il est familier."
47,FAQ4-47,"Dans la chasse, il nous est souvent demandé de tracer. Cette action et toujours la même définition ou bien en change-t-elle suivant le contexte dans lequel elle est employée?","Non, ça a la même définition. C'est à dire que sur votre carte, il faut dessiner, tracer un cercle, tracer une ligne, tracer une forme à ce moment du jeu."
48,FAQ4-48,Y’aurait-il un endroit précis où commencer cette chasse? Ou nous pouvons commencer de où l'on veut?,"Il y a un endroit précis, évidemment, Mais vous pouvez commencer partout sur le jeu. Vous pouvez avancer partout sans être bloqué. Il viendra un moment forcément où vous serez bloqué et vous devrez revenir en arrière. Donc le mieux, c'est quand même de trouver l'endroit précis. Mais rien ne vous empêche par contre d'avancer un peu partout."
49,FAQ4-49,"Comme il s'agit d'une chasse internationale, la solution de certains décryptages, déchiffrages ou jeux de mots contient-elle parfois un ou des mots en langue étrangère? En anglais par exemple.","Dans la version francophone, il n'y a pas de solution en anglais. Voilà c'est tout ce que je peux vous dire. Et après, je crois que j'ai déjà répondu à cette question dans la dernière FAQ, mais il y a plusieurs façons d'avoir des décryptages qui peuvent être universels. Je vous invite à revoir ce passage précis de la FAQ 3."
50,FAQ4-50,"Dans l'énigme 2 et la 5, la couleur rouge des trois lignes est-elle importante? Ou bien est-ce que ça aurait pu être une autre couleur?","Non, c'est important que ce soit le rouge."
51,FAQ4-51,Le cheval de Troie a-t-il la même valeur symbolique que dans la guerre de Troie?,"Oui, tout à fait. Le cheval de Troie est symbolique et j'ai réutilisé cette symbolique dans le jeu. Le cheval de Troie est très important, donc c'est un élément à part entière de la chasse."
52,FAQ4-52,"À plusieurs reprises, je rencontre des anachronismes dans mes recherches. Est-ce que je dois partir du principe que Comte a possiblement simulé sa mort au 18ᵉ et que l'on peut prendre en compte des éléments récents?","Alors la chasse a en effet des références qui sont après la mort officielle du Comte de Saint-Germain. La question pour vous, c'est de savoir si ces éléments sont à prendre en compte ou non. Ça malheureusement, je ne peux pas répondre à cette question."
53,FAQ4-53,"Une fois identifié le lieu où est enterré le trésor, doit-on soulever une pierre avant de creuser au dit endroit? A défaut, nous faudra trouver une pierre métaphoriquement, pour découvrir le lieu où est enterré le trésor?",Impossible de vous répondre. La question est un peu trop précise.
54,FAQ4-54,"Si j'interrogeais le blaireau, me confirmera-t-il quelque chose d'important?",Je ne peux pas vous répondre. Je ne peux pas vous dire s’il vous confirme quelque chose.
55,FAQ4-55,Contre qui le pèlerin joue-t-il aux échecs? Est-ce que ce pèlerin nous représente en tant que joueur?,"C'est une très bonne question. Déjà, est-ce qu'il s'agit d'un pèlerin? Pas forcément. C’est à vous de savoir quel est le personnage représenté. Il est aussi important de savoir contre qui joue ce personnage."
56,FAQ4-56,Un cavalier qui tombe à l'eau peut-il tout de même être considéré comme un bon cavalier?,C'est une bonne question. Et c’est possible. Tout à fait.
