,,Question,Réponse
1,FAQ5-1,Y’a-t-il un ou deux mals distincts ?,Il n'y en a pas qu'un et ils sont distincts.
2,FAQ5-2,L’utilisation de Street View est-elle utile ?,Non. Pas nécessaire.
3,FAQ5-3,"Sur l’illustration 1, dans les vignes à droite, se trouve une tache d’une couleur différente. Serait-ce un point d’eau?","Non, ce n'est pas un point d'eau, mais ça n'a pas d'importance."
4,FAQ5-4,Quel élixir devrais-je boire pour éviter le Covid?,"Alors l’Élixir d’Or, ça va de soi."
5,FAQ5-5,Est-ce possible que le trésor puisse se trouver sur un site classé?,"Si c’est dans le domaine public, oui, tout à fait."
6,FAQ5-6,"Suite aux FAQ 4, vous dites que le cheval de Troie dans l’illustration 5 est très important, mais est-il aussi important de savoir comment, avec 4 roues, il a pu monter les marches qui sont derrière lui? Et le personnage qui lâche son épée est-il venu dans ce cheval?","Alors ça je ne peux pas répondre, c’est trop précis."
7,FAQ5-7,Le cheval de l’énigme 6 est-il une transformation du cheval de l'énigme 5?,Pareil je ne peux pas répondre.
8,FAQ5-8,Le cheval de Troie et le blaireau sont-ils de mèche pour résoudre l'énigme?,La réponse est non.
9,FAQ5-9,"Faut-il prendre en considération l'introduction du testament, notamment les noms de lieux, les personnages?","Oui, le testament contient des informations qui vous seront utiles dans le jeu."
10,FAQ5-10,Le personnage à identifier est-il identique sur chaque visuel?,"C'est la même personne, oui tout à fait, sur les 6 visuels."
11,FAQ5-11,A quelle date a été enterré le coffre?,"Il a été enterré fin 2022, environ 6 mois avant, on va dire, le début du jeu."
12,FAQ5-12,"Suite à la FAQ 4, les 4 fleurs autour des sabliers font-ils écho à un pays de la carte que tient le personnage? Peut-on les rapprocher de l'Écosse? La structure narrative de l’Élixir reprend-elle la quête d’un héros d’une civilisation légendaire , en lui permettant l’inversion du dénouement?","Alors sur les fleurs c'est trop précis pour que je puisse vous répondre. Sur la structure narrative, j'ai dit que c'était un conte, comme un conte. Même si la notion de quête peut coller également à l’Élixir d’Or de façon un peu moins précise. Et par contre, sur l'inversion du dénouement, ça c'est une très bonne remarque. Donc un très bon point pour vous."
13,FAQ5-13,Une autre personne que vous est-elle informée de la présence du coffre sur la zone finale?,"Bien sûr, il y a l'huissier et il y a mon frère ainsi que mon associé qui sont informés de la présence du coffre sur la zone finale. Après, ces personnes ne connaissent pas le cheminement précis des solutions qui vous sera demandé. Et qui vous sera dans tous les cas nécessaire pour trouver l'emplacement de ce coffre. Mais je précise qu'il n'y a aucun risque de fuite car évidemment, mon frère et mon associé sont soumis à des accords de confidentialité extrêmement contraignants. En plus de ça, je leur fais 100 % confiance. Donc il n'y a aucun risque de fuite."
14,FAQ5-14,Pensez-vous réaliser une fois la chasse terminée une vidéo explicative présentant le cheminement dans la conception de la chasse et des énigmes?,"Tout à fait. Je ne sais pas encore sous quelle forme, mais à la fois les solutions des énigmes et leur conception vous seront détaillées après la fin du jeu."
