,,Question,Réponse
1,FAQ11-1,Y a-t-il un rébus dans une des illustrations ?,Je ne peux pas répondre parce que c'est un peu trop précis.
2,FAQ11-2,Est-ce que tous les hommes et femmes de l'énigme [quatre] tombent en France ?,La réponse est oui.
3,FAQ11-3,"Dans l'illustration trois, le démon aurait-il pu avoir une autre apparence ?","La réponse est oui. Mais pas de façon significative. Ça aurait été des versions différentes, mais ça n'aurait pas changé la nature de son apparence."
4,FAQ11-4,Le trésor représenté sur l’illustration numéro six peut-il être considéré comme le trésor des Templiers ?,Je ne peux pas répondre à cette question.
5,FAQ11-5,Une ville française mystérieuse ayant autrefois un nom à consonance latine vous est-elle familière ?,"Oui, tout à fait."
6,FAQ11-6,Les pavots de l’illustration un sont-ils là pour nous mettre sur la piste de la pièce de l'énigme cinq ?,La réponse est non.
7,FAQ11-7,Confirmez-vous qu'aucun lieu espagnol n’est lié au pion plus ultra ?,"Non, je ne confirme, ni n’infirme cette thèse."
8,FAQ11-8,Le fait que ce pion [ndr: plus ultra] puisse être pris par le cheval blanc et le rouge est-il à prendre en compte ?,"Oui, tout à fait."
9,FAQ11-9,Pouvons-nous retrouver dans la chasse des références à Cicada 3301 ?,"Alors non, je n'ai pas participé à cette chasse au trésor qui est mondiale. Mais en tout cas, s'il y a des références, elles seront forcément fortuites parce que je ne les ai pas personnellement."
10,FAQ11-10,"La résolution de X bestiae nécessite-t-elle un calcul ? Et si oui, est-il complexe ?","Oui, il y a un calcul à cet endroit là. Et non, il n'est pas complexe. En tout cas, il est peut-être plus compliqué de trouver les éléments du calcul que de poser le calcul."
11,FAQ11-11,Faut-il lire l'Apocalypse de Saint-Jean pour comprendre pourquoi les hommes tombent ?,La réponse est non. Vous n'avez pas besoin de lire l'Apocalypse pour savoir pourquoi les hommes tombent.
12,FAQ11-12,"Pour vous, le Comte de Saint-Germain a-t-il plutôt vu pousser le lierre ou l'a-t-il plutôt vu se faner ?",Il l'a vu plutôt pousser. Il ne l'a pas vu se faner. 
13,FAQ11-13,Parlez-vous de temps à autre le Gujarati ?,"Je ne sais pas de quoi il s'agit. Donc je vais répondre que non. Même s'il était polyglotte, il ne devait pas parler le Gujarati.
"
14,FAQ11-14,Est-il important que la numérotation des énigmes sur le parchemin soit faite avec des chiffres romains ?,"C'était important pour la cohérence, mais il y aurait pu y avoir une utilisation des chiffres arabes sans conséquences majeures sur la chasse."
15,FAQ11-15,Doit-on déduire des points GPS avec le système de notation de l'échiquier ?,"Là-dessus, je ne peux pas répondre. C'est trop précis."
16,FAQ11-16,"Le personnage de l’énigme deux est-il en train d'écrire une lettre, de répondre à une lettre ou de lire une lettre ?","Non, il est en train de jouer aux échecs."
17,FAQ11-17,"La pierre d'attente peut-elle être représentée par des menhirs, dolmens ou encore des bornes ?","Oui, tout à fait."
18,FAQ11-18,"Dans la phrase ""X bestiae numerus X circuli inferni"", les deux ""X"" sont de la même nature, mais peuvent-ils avoir deux natures différentes en étant utilisés de la même façon ?",Ils sont de même nature et ils sont utilisés de la même façon. Ils sont strictement les mêmes.
19,FAQ11-19,Les quatre cavaliers de l'échiquier regardent tous dans le même sens. Cela a-t-il une importance ?,"Non, ça n'a pas d'importance."
20,FAQ11-20,"Sur l’illustration un, le personnage regarde-t-il la carte ou plutôt vers la grappe de raisins ?",Il regarde les deux et il n'y a pas de préférence entre la carte et le paysage.
21,FAQ11-21,Faut-il avoir des compétences poussées en géométrie pour résoudre l'énigme en lien avec l'échiquier ?,"Non, pas du tout."
22,FAQ11-22,Est-ce que le mal jumeau peut nous guider vers la pierre d'attente dans un monde parallèle ?,"Si vous faites référence au monde des morts, à l’au-delà, oui il peut évidemment y avoir un lien. Après, ça sera pas un monde parallèle comme on peut l'entendre en science moderne. Donc j’exclurais cette deuxième option."
23,FAQ11-23,Peut-on décrypter 3c64 uniquement avec l'énigme trois et l’illustration trois tout en connaissant les résultats de l'énigme deux ?,"Je ne peux pas répondre à cette question. C'est à vous de comprendre comment lire, comment interpréter 3c64 et en quoi ça peut vous être utile."
24,FAQ11-24,Faut-il tracer quelque chose à l'énigme deux?,"Vous n'avez pas besoin de tracer quelque chose, mais vous pouvez retenir des points sur une carte. Et de façon générale, il est stipulé dans les énigmes lorsqu'il faut tracer ou relier des points ou apposer des points sur des cartes qui peuvent être importants."
25,FAQ11-25,Quelle est la couleur des livres en haut à gauche sur l’illustration deux?,La couleur des livres en haut à gauche sur l’illustration deux c’est la couleur violette.
26,FAQ11-26,Le plateau d'échecs du visuel deux aurait-il pu être à l'horizontal ?,"Si il était à l’horizontal, du point de vue de l'artiste, on n'aurait pas forcément pu voir la couleur des cavaliers. Donc je répondrais que non, il fallait qu'ils soient vus de haut."
