,,Question,Réponse
1,FAQ2-1,"J'ai l'impression de voir des choses à l'envers, inversées, ou brouillées : est-ce normal ou suis-je victime de vapeurs alcooliques?","Non, c'est tout à fait normal je vous le confirme."
2,FAQ2-2,"Peut-on, depuis son canapé, déterminer l'endroit ultra-précis du premier coup de pelle?",Oui depuis votre canapé vous pouvez trouver la localisation exacte et même très précisément.
3,FAQ2-3,"Est-ce que sur place, les organisateurs de cette chasse ont laissé un indice à l'emplacement du coffre?",Il n'y a pas d'indice supplémentaire une fois sur place.
4,FAQ2-4,"Il est question du ""mal jumeau"" pourrait-il en être de même pour le bien?",C'est une excellente question mais je ne peux pas y répondre. En tout cas pour le moment.
5,FAQ2-5,"Nous sommes bien d'accord que les énigmes ""s'articulent"" les unes les autres, de manière à constituer un ""ensemble"" final?","En effet, les énigmes ont des liens entre elles. Il peut y avoir des cheminements d'une énigme à l'autre. Donc il ne faut pas considérer chaque énigme, chaque bloc, comme strictement autonome."
6,FAQ2-6,Est-ce que le fait d'avoir un soucis avec les couleurs / daltonien peut être un frein pour résoudre certaines choses?,"Oui c'est un souci. Les visuels sont hauts en couleur, vous avez même pu remarquer que des éléments textuels n'étaient pas parfaitement monochromes, et donc si vous êtes daltonien je vous encourage vraiment à chercher un binôme pour cette chasse puisque les couleurs ont toute leur utilité dans le jeu."
7,FAQ2-7,"Les couleurs des visuels ont-elles ou pas, une importance et une utilité dans la résolution des énigmes ?",Tout à fait.
8,FAQ2-8,"Pourquoi toute l'énigme s'articule autour de la franc-maçonnerie? Simple hasard, clien d'oeil ou énigmes dans l'énigme? Quel rapport avec la chasse?","La question est trop précise donc je ne vais pas répondre pile dans le coeur du sujet, mais il n'y a pas de hasard dans le jeu en tout cas."
9,FAQ2-9,"Lors de nos recherches dans les énigmes, quelle est la part d'alchimie, de vin, de franc-maçonnerie?","Question sur les thèmes, je ne vais pas pouvoir en dire davantage aujourd'hui."
10,FAQ2-10,"Est-il possible, ou même nécessaire, que nous devions contacter quelqu'un afin d'avancer dans notre quête? Exemple : un organisme complice qui détiendrait une information capitale.","Non. Aucun partenaire n'est dans le secret. Ça aurait été évidemment extrêmement compliqué pour des questions de confidentialité. Donc on a préféré maintenir le secret entre un nombre très, très réduit de personnes."
